# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA (set)
# _SET1_  NGENES = 17
# _SET1_  P-VALUE = 7.9355e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000134644     1   31369353   31573838    376      18  218333      -1.6864      0.88143   -2.2204e-16      -1.6864
_SET1_   ENSG00000084636     1   32082848   32204920    180      20  210265       1.6174     0.017842   -2.2204e-16       1.6174
_SET1_   ENSG00000162521     1   33081743   33186812    199       6  221217      0.88502      0.15461   -3.3307e-16      0.88502
_SET1_   ENSG00000116133     1   55280306   55387891    352      19  219224      0.52476      0.15495   -3.3307e-16      0.52476
_SET1_   ENSG00000144231     2  128568840  128650731    235      25  213484       1.1226     0.053365   -2.2204e-16       1.1226
_SET1_   ENSG00000136560     2  161958419  162127732    255      16  210917       1.4798     0.028533   -2.2204e-16       1.4798
_SET1_   ENSG00000155657     2  179355716  179730529    655      40  212633       1.3195     0.026916   -2.2204e-16       1.3195
_SET1_   ENSG00000112964     5   42388879   42756979    641      29  205253       2.4621   0.00085419   -4.4409e-16       2.4621
_SET1_   ENSG00000177700    11     802356     877545     39       6  210729        4.195   2.7376e-06             0        4.195
_SET1_   ENSG00000244734    11    5211694    5285625    269      21  216493    -0.032015       0.3226   -2.7756e-16    -0.032015
_SET1_   ENSG00000133703    12   25322723   25438870    324      32  216264      0.10519      0.26277   -2.7756e-16      0.10519
_SET1_   ENSG00000100815    14   92397335   92542240    378      17  221775      0.85021      0.09277   -3.3307e-16      0.85021
_SET1_   ENSG00000065057    16    2054816    2132867     13       3  207448     -0.79971      0.68851   -3.3307e-16     -0.79971
_SET1_   ENSG00000015413    16   89644716   89739839    247      27  206424       2.8194    0.0003978   -4.4409e-16       2.8194
_SET1_   ENSG00000101557    18     123383     249629    186      16  217104      0.85287     0.098743   -3.3307e-16      0.85287
_SET1_   ENSG00000167315    18   47274869   47375330    333      20  218612      0.95705     0.073036   -3.3307e-16      0.95705
_SET1_   ENSG00000166510    18   52533740   52661739    278      19  218096       1.2927     0.038217   -2.2204e-16       1.2927
