# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = ROSS_AML_WITH_CBFB_MYH11_FUSION (set)
# _SET1_  NGENES = 47
# _SET1_  P-VALUE = 4.49097e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000090432     1   20790943   20869654    203      26  195813      -1.4594      0.90964    8.5709e-14      -1.4594
_SET1_   ENSG00000154305     1  222756428  222876354    249      22  195813       6.4845   1.7445e-11    8.5265e-14       6.4845
_SET1_   ENSG00000143753     1  224328458  224416143    250      24  195813      -1.0484      0.80972    8.5709e-14      -1.0484
_SET1_   ENSG00000171848     2   10227455   10306545    226      34  195813    -0.087325      0.49117    8.5612e-14    -0.087325
_SET1_   ENSG00000116127     2   73577886   73872920    666      17  195813       1.5541     0.035751    8.5709e-14       1.5541
_SET1_   ENSG00000116044     2  178057323  178292425    564      33  195813       1.2099     0.088397    8.5709e-14       1.2099
_SET1_   ENSG00000116120     2  223400255  223556056    437      27  195813       0.1179      0.38653    8.5612e-14       0.1179
_SET1_   ENSG00000134086     3   10147692   10228904    312      29  195813     0.044007      0.42859    8.5619e-14     0.044007
_SET1_   ENSG00000047849     3   47857182   48165769    331      17  195813       2.0065      0.01297    8.5709e-14       2.0065
_SET1_   ENSG00000177352     3   49164968   49238754     91      10  195813     -0.25521      0.52195    8.5598e-14     -0.25521
_SET1_   ENSG00000187098     3   69753586   70052488    867      42  195813       2.1187     0.011435    8.5709e-14       2.1187
_SET1_   ENSG00000152952     3  145752227  145916440    490      25  195813     -0.26046      0.51608    8.5598e-14     -0.26046
_SET1_   ENSG00000091490     4   25714055   25900382    560      76  195813     0.032441      0.47655    8.5619e-14     0.032441
_SET1_   ENSG00000128052     4   55909644   56026756    353      46  195813       1.1821     0.098234    8.5709e-14       1.1821
_SET1_   ENSG00000164904     5  125842533  125966110    377      47  195813       2.4231    0.0059814    8.5709e-14       2.4231
_SET1_   ENSG00000061492     5  137384581  137463054    186      26  195813     0.091551      0.41012    8.5612e-14     0.091551
_SET1_   ENSG00000232810     6   31508344   31581113    173      37  195813      0.47802      0.31011    8.5598e-14      0.47802
_SET1_   ENSG00000031691     6   49396091   49495820    242      23  195813      -1.0391      0.80237    8.5709e-14      -1.0391
_SET1_   ENSG00000112115     6   52016185   52090436    308      26  195813       1.1426      0.09827    8.5709e-14       1.1426
_SET1_   ENSG00000164506     6  147490561  147741866    410      23  195813      -1.1124      0.82108    8.5709e-14      -1.1124
_SET1_   ENSG00000146555     7    3306080    4343632   4440     118  195813      0.15042      0.44706    8.5626e-14      0.15042
_SET1_   ENSG00000127946     7   75127621   75403280    901      77  195813      0.78807      0.20143    8.5598e-14      0.78807
_SET1_   ENSG00000171855     9   21042104   21112943    220      34  195813      0.95952      0.14283    8.5598e-14      0.95952
_SET1_   ENSG00000148057     9   86202964   86294045    236      26  195813      0.22363      0.34973    8.5626e-14      0.22363
_SET1_   ENSG00000136856     9  130124421  130205703    195      17  195813    -0.022039      0.42155    8.5619e-14    -0.022039
_SET1_   ENSG00000151532    10  114171756  114613503    986     122  195813      -0.7474      0.80327    8.5598e-14      -0.7474
_SET1_   ENSG00000129152    11   17706115   17778678    262      34  195813      0.19933      0.38509    8.5626e-14      0.19933
_SET1_   ENSG00000120451    11  130710331  130821404    450      23  195813      0.96293      0.11646    8.5598e-14      0.96293
_SET1_   ENSG00000134531    12   13314650   13404708    273      42  195813     -0.79734      0.76172    8.5598e-14     -0.79734
_SET1_   ENSG00000087494    12   28076017   28160638    268      25  195813        1.314     0.071462    8.5709e-14        1.314
_SET1_   ENSG00000102699    13   24960064   25121948    810      29  195813      -1.1531      0.82177    8.5709e-14      -1.1531
_SET1_   ENSG00000159713    16   67388712   67462438    118      11  195813       1.1028       0.1491    8.5709e-14       1.1028
_SET1_   ENSG00000141510    17    7530097    7625856    321      34  195813     -0.22191      0.54514    8.5626e-14     -0.22191
_SET1_   ENSG00000168610    17   40430342   40575586    325      24  195813         2.56    0.0031134    8.5709e-14         2.56
_SET1_   ENSG00000108784    17   40653190   40731467    143      18  195813        3.494   0.00012291    8.5709e-14        3.494
_SET1_   ENSG00000153982    17   57262828   57388328    277      19  195813       1.5228     0.043062    8.5709e-14       1.5228
_SET1_   ENSG00000136487    17   61922578   61994295    224      11  195813      0.12677      0.34255    8.5626e-14      0.12677
_SET1_   ENSG00000108469    17   73587925   73698269    255      22  195813       1.2116      0.08088    8.5709e-14       1.2116
_SET1_   ENSG00000171298    17   78040355   78128678    414      30  195813      -1.0223      0.80388    8.5709e-14      -1.0223
_SET1_   ENSG00000167315    18   47274869   47375330    373      25  195813     -0.52908      0.62914    8.5598e-14     -0.52908
_SET1_   ENSG00000197632    18   61503926   61606124    369      10  195813      0.16679      0.32531    8.5626e-14      0.16679
_SET1_   ENSG00000130164    19   11165038   11279492    446      39  195813        7.131   1.8553e-13    8.5265e-14        7.131
_SET1_   ENSG00000099341    19   38830176   38909464    258      19  195813      0.28834      0.37112    8.5598e-14      0.28834
_SET1_   ENSG00000130204    19   45358826   45441946    279      37  195813       5.4394   1.3304e-08    8.5265e-14       5.4394
_SET1_   ENSG00000177045    19   46233043   46307484    123      16  195813       2.7789    0.0015204    8.5709e-14       2.7789
_SET1_   ENSG00000197405    19   47758280   47860323    343      24  195813      0.26974      0.32784    8.5598e-14      0.26974
_SET1_   ENSG00000101440    20   32747375   32892150    189      11  195813       1.5966     0.042185    8.5709e-14       1.5966
