# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = BENPORATH_NANOG_TARGETS (set)
# _SET1_  NGENES = 877
# _SET1_  P-VALUE = 4.33664e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000188290     1     899342     970552     55       3  195813       1.9763     0.010981    8.5709e-14       1.9763
_SET1_   ENSG00000188157     1     920503    1026496    127       9  195813        1.695     0.025017    8.5709e-14        1.695
_SET1_   ENSG00000186891     1    1103888    1177071    314      20  195813      -1.1738      0.85699    8.5709e-14      -1.1738
_SET1_   ENSG00000078369     1    1681729    1857495    277      13  195813      0.45291       0.2358    8.5598e-14      0.45291
_SET1_   ENSG00000067606     1    1946909    2151834    450      27  195813    -0.046461      0.43772    8.5619e-14    -0.046461
_SET1_   ENSG00000157933     1    2125134    2276558    448      64  195813       4.1356   1.4058e-05    8.5265e-14       4.1356
_SET1_   ENSG00000078900     1    3534084    3687765    453      61  195813     -0.58286      0.69708    8.5598e-14     -0.58286
_SET1_   ENSG00000187017     1    6449848    6556430    311      19  195813      0.76591       0.2002    8.5598e-14      0.76591
_SET1_   ENSG00000171735     1    6810384    7864766   3124     210  195813       1.3124      0.12803    8.5709e-14       1.3124
_SET1_   ENSG00000120942     1   11298263   11391106    174      16  195813      -1.4084      0.89577    8.5709e-14      -1.4084
_SET1_   ENSG00000116670     1   11699537   11786707    266      42  195813     -0.77009      0.74966    8.5598e-14     -0.77009
_SET1_   ENSG00000120937     1   11882521   11953988    321      29  195813      0.98195      0.13037    8.5598e-14      0.98195
_SET1_   ENSG00000083444     1   11959262   12070595    366      27  195813      -1.0112      0.79843    8.5709e-14      -1.0112
_SET1_   ENSG00000162496     1   12592939   12712737    488      58  195813        1.568     0.051316    8.5709e-14        1.568
_SET1_   ENSG00000065526     1   16139359   16301955    422      26  195813      0.47743      0.26444    8.5598e-14      0.47743
_SET1_   ENSG00000159339     1   17599690   17725499    691      45  195813      0.22908      0.35301    8.5626e-14      0.22908
_SET1_   ENSG00000074964     1   17831330   18059369    546      49  195813      0.28384      0.35921    8.5598e-14      0.28384
_SET1_   ENSG00000158748     1   19956780   20041055    306      30  195813       0.2728      0.33784    8.5598e-14       0.2728
_SET1_   ENSG00000142798     1   22113738   22298790    707      56  195813        2.079     0.016715    8.5709e-14        2.079
_SET1_   ENSG00000070831     1   22344120   22454437    403      25  195813       0.4474      0.26799    8.5598e-14       0.4474
_SET1_   ENSG00000125945     1   23650941   23730935    169      21  195813       1.3052     0.082526    8.5709e-14       1.3052
_SET1_   ENSG00000020633     1   25191002   25326612    391      46  195813      0.55546      0.25131    8.5598e-14      0.55546
_SET1_   ENSG00000169442     1   26609448   26682014    246      23  195813      -0.1753      0.50109    8.5626e-14      -0.1753
