# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_DN (set)
# _SET1_  NGENES = 37
# _SET1_  P-VALUE = 5.6336e-08
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000117519     1   95327507   95427834    413      53  195813       2.5013    0.0056253    8.5709e-14       2.5013
_SET1_   ENSG00000143398     1  151135425  151257012    158      18  195813     -0.42269       0.6058    8.5598e-14     -0.42269
_SET1_   ENSG00000152284     2   85325533   85572511    945      71  195813     -0.64814      0.72223    8.5598e-14     -0.64814
_SET1_   ENSG00000187091     3   38013987   38106253    261      26  195813     -0.84166      0.76588    8.5598e-14     -0.84166
_SET1_   ENSG00000211456     3   45695548   45821916    377      19  195813       1.4564      0.04543    8.5709e-14       1.4564
_SET1_   ENSG00000184432     3  139039442  139143574    260      16  195813     -0.98361      0.77505    8.5598e-14     -0.98361
_SET1_   ENSG00000188993     4   52824868   52918786    114       8  195813     -0.49972      0.59978    8.5598e-14     -0.49972
_SET1_   ENSG00000138642     4   89264891   89399263    212      42  195813      -1.4208      0.91213    8.5709e-14      -1.4208
_SET1_   ENSG00000164093     4  111503579  111598279    152      17  195813      0.64709      0.20521    8.5598e-14      0.64709
_SET1_   ENSG00000145996     6   20499688   21267635   2484      98  195813       1.0057      0.15619    8.5709e-14       1.0057
_SET1_   ENSG00000048052     7   18091572   19077039   2703     182  195813       1.6418     0.075038    8.5709e-14       1.6418
_SET1_   ENSG00000136235     7   23240586   23349727    223      21  195813      0.41088      0.28765    8.5598e-14      0.41088
_SET1_   ENSG00000121022     8   67920314   68031018    165      12  195813      0.46643      0.38214    8.5598e-14      0.46643
_SET1_   ENSG00000154589     8   74868587   74976322    304      20  195813      -0.5447      0.63656    8.5598e-14      -0.5447
_SET1_   ENSG00000070756     8  101663044  101770037    320      31  195813    -0.050775      0.45742    8.5619e-14    -0.050775
_SET1_   ENSG00000185122     8  145480280  145573385    120       9  195813     -0.28097      0.50656    8.5598e-14     -0.28097
_SET1_   ENSG00000178372    10    5505658    5576533    270      38  195813      0.18275      0.38567    8.5626e-14      0.18275
_SET1_   ENSG00000156650    10   76550340   76827380    461      28  195813       1.0328       0.1552    8.5709e-14       1.0328
_SET1_   ENSG00000176925    11    4807551    4878686    356      18  195813    -0.081641      0.44129    8.5612e-14    -0.081641
_SET1_   ENSG00000137474    11   76804310   76961284    538      53  195813        1.751     0.032029    8.5709e-14        1.751
_SET1_   ENSG00000125084    12   49337398   49410459    135      17  195813      -1.6137      0.92351    8.5709e-14      -1.6137
_SET1_   ENSG00000165659    13   71977098   72476330    811      76  195813      0.09815      0.47725    8.5612e-14      0.09815
_SET1_   ENSG00000166949    15   67321101   67522533    567      65  195813       2.9035    0.0014759    8.5709e-14       2.9035
_SET1_   ENSG00000196547    15   91410448   91500814    279      29  195813       4.2108   6.7849e-06    8.5265e-14       4.2108
_SET1_   ENSG00000086504    16     382384     455527    348      30  195813      0.07523      0.40325    8.5612e-14      0.07523
_SET1_   ENSG00000261052    16   30170754   30250631     38       7  195813     -0.55884      0.64845    8.5598e-14     -0.55884
_SET1_   ENSG00000102935    16   49486435   49926830   1366     133  195813     -0.31516      0.66037    8.5598e-14     -0.31516
_SET1_   ENSG00000168928    16   75202994   75276083    375      31  195813       4.0172   1.6556e-05    8.5265e-14       4.0172
_SET1_   ENSG00000094804    17   38408885   38494171    111      12  195813      0.69155      0.24903    8.5598e-14      0.69155
_SET1_   ENSG00000041353    18   52350091   52597747    744      39  195813      -1.4691       0.9066    8.5709e-14      -1.4691
_SET1_   ENSG00000127616    19   11036598   11211071    497      33  195813       6.4642   1.9574e-11    8.5265e-14       6.4642
_SET1_   ENSG00000130513    19   18450541   18534986    258      35  195813       2.1045     0.012926    8.5709e-14       2.1045
_SET1_   ENSG00000124126    20   47205790   47479420    924      40  195813        3.305   0.00026578    8.5709e-14        3.305
_SET1_   ENSG00000160179    21   43584799   43752354    679      73  195813      0.55291      0.27927    8.5598e-14      0.55291
_SET1_   ENSG00000100365    22   37222030   37309057    264      37  195813      0.14469      0.39934    8.5626e-14      0.14469
_SET1_   ENSG00000100207    22   42521019   42774622    691      44  195813       1.0706      0.11241    8.5709e-14       1.0706
_SET1_   ENSG00000205560    22   50972290   51052899    407      34  195813      -1.9805      0.96925    8.5709e-14      -1.9805
