# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = WP_MAJOR_RECEPTORS_TARGETED_BY_EPINEPHRINE_AND_NOREPINEPHRINE (set)
# _SET1_  NGENES = 16
# _SET1_  P-VALUE = 6.36323e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000084636     1   32082848   32204920    180      20  210265       1.6174     0.017842   -2.2204e-16       1.6174
_SET1_   ENSG00000116584     1  155881630  156011861    149      14  210646      -1.1951      0.78063   -2.2204e-16      -1.1951
_SET1_   ENSG00000143226     1  161440220  161528803    168      23  216405     -0.30569      0.44569   -2.7756e-16     -0.30569
_SET1_   ENSG00000071575     2   12822015   12917860    209      25  223260       1.6907     0.016534   -2.2204e-16       1.6907
_SET1_   ENSG00000160145     3  123763870  124480172   1996      94  217285      0.96526      0.01746   -3.3307e-16      0.96526
_SET1_   ENSG00000001084     6   53327139   53516768    573      57  219048      0.32691      0.17276   -2.7756e-16      0.32691
_SET1_   ENSG00000176410     7   73060299   73132783    183      15  217624     -0.57707      0.56191   -3.3307e-16     -0.57707
_SET1_   ENSG00000130222     9   92184928   92256470    242      24  216386      0.10944      0.27639   -2.7756e-16      0.10944
_SET1_   ENSG00000065675    10    6434105    6657263    604      71  213031     -0.51414      0.43501   -3.3307e-16     -0.51414
_SET1_   ENSG00000096717    10   69609427   69713147    205      12  215769      0.69811      0.13162   -3.3307e-16      0.69811
_SET1_   ENSG00000165934    14   92553281   92665755    352      23  217251      0.12778       0.2618   -2.7756e-16      0.12778
_SET1_   ENSG00000070444    17    2252354    2339412    216      30  214955       2.1646    0.0039639   -4.4409e-16       2.1646
_SET1_   ENSG00000012048    17   41161312   41312500    247       5  220085       3.3974   8.2442e-05   -4.4409e-16       3.3974
_SET1_   ENSG00000099326    19   59038298   59119942     82      10  215958     -0.36706      0.50095   -2.7756e-16     -0.36706
_SET1_   ENSG00000125798    20   22526643   22601093    120       6  220573      0.96874      0.11019   -3.3307e-16      0.96874
_SET1_   ENSG00000101198    20   61837136   61939046     91       9  212600      0.29739       0.2438   -2.7756e-16      0.29739
