# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = ZHAN_LATE_DIFFERENTIATION_GENES_DN (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 1.96799e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000173175     3  122966143  123203605    816      73  138832       5.4952   2.4467e-09   -2.6645e-15       5.4952
_SET1_   ENSG00000113389     5   32654176   32826819    685      78  145403      0.77274      0.13672   -2.9976e-15      0.77274
_SET1_   ENSG00000170323     8   82355654   82430498    255      29  144679       3.7351   2.7378e-05   -3.1086e-15       3.7351
_SET1_   ENSG00000156162     8   95696931   95841064    588      40  147417        1.888     0.013243   -3.1086e-15        1.888
_SET1_   ENSG00000106927     9  116787407  116875752    380      53  143919       -0.189      0.44297   -3.0254e-15       -0.189
_SET1_   ENSG00000180628    10   92944908   93079088    428      36  142592      -1.4033      0.86334   -3.1086e-15      -1.4033
_SET1_   ENSG00000185507    11     577553     650999    359      37  140762      0.36719       0.2425   -2.9976e-15      0.36719
_SET1_   ENSG00000110717    11   67763084   67839111    278      44  128350      0.82871      0.12547   -2.9976e-15      0.82871
_SET1_   ENSG00000149948    12   66182911   66395075    595      60  139781       4.9907   6.1874e-08   -2.6645e-15       4.9907
_SET1_   ENSG00000069667    15   60745483   61556518   3118     322  142089       1.9585    0.0072316   -3.1086e-15       1.9585
_SET1_   ENSG00000185338    16   11313262   11385036    358      40  147786     -0.10697      0.41238   -3.0254e-15     -0.10697
_SET1_   ENSG00000167642    19   38699675   38818254    469      62  147370      0.21636      0.29703   -3.0254e-15      0.21636
_SET1_   ENSG00000013275    19   40441912   40522348    328      26  136730     0.069412      0.46714   -3.0254e-15     0.069412
_SET1_   ENSG00000101191    20   61474090   61604304    582      66  140353       1.3354     0.047527   -3.1086e-15       1.3354
_SET1_   ENSG00000198089    22   31849674   32049572    831      38  141574       -1.184        0.812   -3.1086e-15       -1.184
