# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KIM_GASTRIC_CANCER_CHEMOSENSITIVITY (set)
# _SET1_  NGENES = 85
# _SET1_  P-VALUE = 7.99613e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000020633     1   25191002   25326612    391      46  195813      0.55546      0.25131    8.5598e-14      0.55546
_SET1_   ENSG00000116497     1   33247368   33359476    179      19  195813       1.4423     0.054974    8.5709e-14       1.4423
_SET1_   ENSG00000163909     1   40054825   40140617    226      39  195813       1.2354     0.095562    8.5709e-14       1.2354
_SET1_   ENSG00000142949     1   43955858   44124343    414      21  195813     -0.10107      0.44789    8.5612e-14     -0.10107
_SET1_   ENSG00000117407     1   44363992   44437913    165      17  195813       1.7788     0.029148    8.5709e-14       1.7788
_SET1_   ENSG00000143106     1  109906653  110004062    149      13  195813       2.0274     0.013105    8.5709e-14       2.0274
_SET1_   ENSG00000242252     1  156176753  156248112    177      21  195813     -0.29818       0.5489    8.5598e-14     -0.29818
_SET1_   ENSG00000047410     1  186245784  186379825    289      20  195813       2.3076     0.006272    8.5709e-14       2.3076
_SET1_   ENSG00000163531     1  204762779  205026950    841      72  195813      0.62021      0.26058    8.5598e-14      0.62021
_SET1_   ENSG00000143761     1  228235361  228321912    134      21  195813      0.75707       0.2239    8.5598e-14      0.75707
_SET1_   ENSG00000138031     2   25007038   25177708    568      27  195813      0.29031       0.3069    8.5598e-14      0.29031
_SET1_   ENSG00000163803     2   28645012   28901654    988      94  195813        1.388     0.082157    8.5709e-14        1.388
_SET1_   ENSG00000119729     2   46733945   46845260    303      26  195813     -0.46414      0.61802    8.5598e-14     -0.46414
_SET1_   ENSG00000135625     2   73483058   73555833    112      25  195813      0.94827      0.15991    8.5598e-14      0.94827
_SET1_   ENSG00000068615     2   86406116   86600206    629      23  195813       0.4517      0.24521    8.5598e-14       0.4517
_SET1_   ENSG00000138356     2  201415591  201576787    457      45  195813     -0.30175      0.57364    8.5598e-14     -0.30175
_SET1_   ENSG00000135929     2  219611472  219715016    188       7  195813      0.47335      0.21403    8.5598e-14      0.47335
_SET1_   ENSG00000132326     2  239117679  239233743    400      38  195813      0.51111       0.2607    8.5598e-14      0.51111
_SET1_   ENSG00000172482     2  241772896  241854919    405      15  195813       1.5474     0.033997    8.5709e-14       1.5474
_SET1_   ENSG00000131370     3   15261360   15417875    390      59  195813       1.8892     0.026708    8.5709e-14       1.8892
_SET1_   ENSG00000163539     3   33502737   33794848    603      32  195813       1.0605      0.11442    8.5709e-14       1.0605
_SET1_   ENSG00000172037     3   49123547   49205551     83      13  195813      0.92526      0.14106    8.5598e-14      0.92526
_SET1_   ENSG00000001617     3   50157478   50261508    185      25  195813       1.5474     0.045284    8.5709e-14       1.5474
_SET1_   ENSG00000087008     4    8333009    8477450    679      42  195813       1.0294      0.12677    8.5709e-14       1.0294
_SET1_   ENSG00000004468     4   15744898   15889853    421      32  195813     -0.35175      0.58215    8.5598e-14     -0.35175
_SET1_   ENSG00000113161     5   74597154   74692929    232      24  195813       1.9612     0.018312    8.5709e-14       1.9612
_SET1_   ENSG00000113083     5  121363890  121448980    180      23  195813       2.1169     0.013466    8.5709e-14       2.1169
_SET1_   ENSG00000113522     5  131856711  132015313    227      18  195813      0.77041      0.17247    8.5598e-14      0.77041
_SET1_   ENSG00000158402     5  137585954  137709044    268      24  195813       1.3593     0.063913    8.5709e-14       1.3593
_SET1_   ENSG00000131508     5  138871016  139043018    290      18  195813      0.45167      0.30535    8.5598e-14      0.45167
_SET1_   ENSG00000161011     5  179198388  179300078    332      38  195813      0.31049      0.33858    8.5598e-14      0.31049
_SET1_   ENSG00000124532     6   24368153   24460810    546      35  195813      -2.0609      0.97266    8.5709e-14      -2.0609
_SET1_   ENSG00000204390     6   31742396   31818437     59      24  195813      0.70215      0.30538    8.5598e-14      0.70215
_SET1_   ENSG00000196126     6   32511546   32592625   2167      23  195813      0.38607      0.24848    8.5598e-14      0.38607
_SET1_   ENSG00000112667     6   43158367   43232222    178      27  195813       1.3387     0.080787    8.5709e-14       1.3387
_SET1_   ENSG00000146070     6   46636938   46738430    185      30  195813       1.1029      0.11792    8.5709e-14       1.1029
_SET1_   ENSG00000118495     6  144226437  144420735    544      55  195813      -0.1744       0.5406    8.5626e-14      -0.1744
_SET1_   ENSG00000170027     7   75921116   76023348    291      24  195813    0.0084444      0.42749    8.5619e-14    0.0084444
_SET1_   ENSG00000164692     7   93988873   94095544    287      39  195813      -1.0679      0.83567    8.5709e-14      -1.0679
_SET1_   ENSG00000070669     7   97446430   97536854    290      23  195813      0.36323      0.29284    8.5598e-14      0.36323
_SET1_   ENSG00000105976     7  116277444  116473440    370      42  195813     -0.42128       0.6289    8.5598e-14     -0.42128
_SET1_   ENSG00000104714     8     529746     723106   1048      44  195813      -1.0877       0.8236    8.5709e-14      -1.0877
_SET1_   ENSG00000104267     8   86341081   86428722    135      17  195813      0.70123      0.19577    8.5598e-14      0.70123
_SET1_   ENSG00000106829     9   82151688   82376658    502      48  195813       2.4388    0.0061552    8.5709e-14       2.4388
_SET1_   ENSG00000123975     9   91891113   91966618    183      32  195813      0.43645      0.33711    8.5598e-14      0.43645
_SET1_   ENSG00000165025     9   93529069   93695831    763      81  195813     -0.87224       0.8072    8.5598e-14     -0.87224
_SET1_   ENSG00000165029     9  107508283  107725518    881     108  195813       1.8288     0.039292    8.5709e-14       1.8288
_SET1_   ENSG00000119471     9  115107217  115269690    486      23  195813      0.80567      0.15529    8.5598e-14      0.80567
_SET1_   ENSG00000148219     9  119152504  120212348   3437     172  195813     -0.18293      0.63122    8.5626e-14     -0.18293
_SET1_   ENSG00000119414     9  127873852  127987218    270      13  195813      0.90528      0.12144    8.5598e-14      0.90528
_SET1_   ENSG00000169155     9  129532285  129635489    160      38  195813     -0.29584      0.60306    8.5598e-14     -0.29584
_SET1_   ENSG00000165699     9  135731735  135855020    349      36  195813     -0.93646      0.79796    8.5598e-14     -0.93646
_SET1_   ENSG00000130598    11    1825219    1897910    277      37  195813      -1.1874      0.85518    8.5709e-14      -1.1874
_SET1_   ENSG00000176340    11   63707079   63779015    148      10  195813      -1.1544      0.81583    8.5709e-14      -1.1544
_SET1_   ENSG00000074266    11   85920586   86024855    280      21  195813     -0.41619      0.58605    8.5598e-14     -0.41619
_SET1_   ENSG00000066117    12   50443755   50529495    135      14  195813      -1.5575      0.91117    8.5709e-14      -1.5575
_SET1_   ENSG00000176422    12   56827301   56899763    136      19  195813       1.9315     0.017639    8.5709e-14       1.9315
_SET1_   ENSG00000135097    12  120744133  120841983    204      20  195813       1.8584     0.021058    8.5709e-14       1.8584
_SET1_   ENSG00000139722    12  123314882  123415991    186      17  195813       1.4681     0.061498    8.5709e-14       1.4681
_SET1_   ENSG00000177084    12  133165348  133298951    484      24  195813       -1.603      0.91561    8.5709e-14       -1.603
_SET1_   ENSG00000132938    13   29563748   30112892   2007     106  195813       1.6717     0.048451    8.5709e-14       1.6717
_SET1_   ENSG00000157227    14   23270766   23353236    265      41  195813       2.8127    0.0017333    8.5709e-14       2.8127
_SET1_   ENSG00000100911    14   24577574   24651779    123      22  195813     -0.28121      0.55997    8.5598e-14     -0.28121
_SET1_   ENSG00000198690    15   31161055   31270311    254      19  195813     0.045747      0.40247    8.5619e-14     0.045747
_SET1_   ENSG00000137825    15   41750591   41830747    203      31  195813      0.97919      0.13501    8.5598e-14      0.97919
_SET1_   ENSG00000166949    15   67321101   67522533    567      65  195813       2.9035    0.0014759    8.5709e-14       2.9035
_SET1_   ENSG00000103126    16     302440     437673    541      36  195813     -0.11112      0.47965    8.5612e-14     -0.11112
_SET1_   ENSG00000157045    16   15096710   15184921    148      17  195813       1.1083     0.098663    8.5709e-14       1.1083
_SET1_   ENSG00000065457    16   75595879   75692198    310      21  195813     -0.80005      0.77932    8.5598e-14     -0.80005
_SET1_   ENSG00000132388    17    4137554    4304923    259      11  195813     -0.31021      0.51417    8.5598e-14     -0.31021
_SET1_   ENSG00000101680    18    6906743    7152813    923     122  195813      0.25732      0.42498    8.5598e-14      0.25732
_SET1_   ENSG00000091164    18   54229439   54353831    269      22  195813     -0.12654      0.50072    8.5626e-14     -0.12654
_SET1_   ENSG00000104833    19    6459330    6537859    209      46  195813       -1.037      0.83432    8.5709e-14       -1.037
_SET1_   ENSG00000130669    19   39581410   39708456    382      29  195813     -0.44506      0.60186    8.5598e-14     -0.44506
_SET1_   ENSG00000123810    19   41825326   41905078    162      21  195813       4.8621   2.3957e-07    8.5265e-14       4.8621
_SET1_   ENSG00000104879    19   45774672   45861235    270      31  195813       2.2364    0.0087301    8.5709e-14       2.2364
_SET1_   ENSG00000198053    20    1840154    1955543    462      66  195813       0.8164      0.19613    8.5598e-14       0.8164
_SET1_   ENSG00000125814    20   23320159   23437125    388      20  195813      -1.2909      0.86034    8.5709e-14      -1.2909
_SET1_   ENSG00000124181    20   39730600   39846629    177      24  195813       3.5926   0.00010704    8.5709e-14       3.5926
_SET1_   ENSG00000124196    20   42319804   42390638    172      34  195813       1.7394      0.04126    8.5709e-14       1.7394
_SET1_   ENSG00000197381    21   46458768   46681478    787      44  195813       1.7281     0.031822    8.5709e-14       1.7281
_SET1_   ENSG00000099901    22   20068461   20149878    298      20  195813      -0.1828      0.50398    8.5626e-14      -0.1828
_SET1_   ENSG00000128340    22   37586301   37675488    348      32  195813     -0.56076      0.65319    8.5598e-14     -0.56076
_SET1_   ENSG00000100354    22   40405821   40766812    595      28  195813       1.4435     0.048964    8.5709e-14       1.4435
_SET1_   ENSG00000100410    22   41820721   41899729    112       9  195813     -0.53845       0.6292    8.5598e-14     -0.53845

# _SET2_  VARIABLE = PID_INTEGRIN2_PATHWAY (set)
# _SET2_  NGENES = 27
# _SET2_  P-VALUE = 3.042e-06
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000126070     1   36361319   36573101    222      17  195813     -0.51715      0.70284    8.5598e-14     -0.51715
_SET2_   ENSG00000185668     1   38474523   38547450    169      21  195813       1.3922     0.073319    8.5709e-14       1.3922
_SET2_   ENSG00000160712     1  154342669  154476926    365      32  195813       4.9416   1.6852e-07    8.5265e-14       4.9416
_SET2_   ENSG00000132694     1  156869632  157050162    551      24  195813      0.28866      0.32224    8.5598e-14      0.28866
_SET2_   ENSG00000138080     2   27266435   27344271    125      15  195813       1.1666     0.089224    8.5709e-14       1.1666
_SET2_   ENSG00000138069     2   65262835   65392240    434      28  195813     0.014318      0.43514    8.5619e-14     0.014318
_SET2_   ENSG00000132170     3   12293867   12510855    592      46  195813       1.5867     0.043905    8.5709e-14       1.5867
_SET2_   ENSG00000163872     3  183380606  183565413    429      26  195813    0.0010511      0.41682    8.5619e-14    0.0010511
_SET2_   ENSG00000169245     4   76907273   76979650    352      12  195813      -1.1788      0.80962    8.5709e-14      -1.1788
_SET2_   ENSG00000145675     5   67476548   67632649    451      63  195813       2.4005    0.0077539    8.5709e-14       2.4005
_SET2_   ENSG00000072571     5  162852209  162953947    231      29  195813     -0.96808      0.80029    8.5598e-14     -0.96808
_SET2_   ENSG00000124766     6   21558972   21633847     87       9  195813       1.1715     0.084436    8.5709e-14       1.1715
_SET2_   ENSG00000024048     6   42496800   42696242    440      24  195813      0.40285      0.26725    8.5598e-14      0.40285
_SET2_   ENSG00000105991     7   27097612   27170615    153      26  195813     -0.10187      0.50558    8.5612e-14     -0.10187
_SET2_   ENSG00000079459     8   11618082   11731818    680      44  195813     -0.96835      0.79675    8.5598e-14     -0.96835
_SET2_   ENSG00000155897     8  131757547  132089672   1271      71  195813      0.71455      0.21683    8.5598e-14      0.71455
_SET2_   ENSG00000147883     9   21967902   22044362    165      21  195813       7.4171   1.0991e-14    8.5265e-14       7.4171
_SET2_   ENSG00000107829    10  103335423  103490052    227      22  195813      0.49857      0.25662    8.5598e-14      0.49857
_SET2_   ENSG00000197142    10  114098776  114223138    284      22  195813     -0.44121      0.59337    8.5598e-14     -0.44121
_SET2_   ENSG00000111581    12   69045514   69171785    311      27  195813       1.3623     0.069207    8.5709e-14       1.3623
