# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_HIV_LIFE_CYCLE (set)
# _SET1_  NGENES = 140
# _SET1_  P-VALUE = 7.75462e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000157933     1    2125134    2276558     75      19  204402     -0.22894      0.38106   -7.2164e-16     -0.22894
_SET1_   ENSG00000070831     1   22344120   22454437     76      10  204402       1.1945     0.047003   -6.6613e-16       1.1945
_SET1_   ENSG00000001461     1   24707284   24834466     95      11  204402      0.97765     0.063942   -7.7716e-16      0.97765
_SET1_   ENSG00000116478     1   32722687   32834236      6       4  204402      -2.1694      0.95373   -8.8818e-16      -2.1694
_SET1_   ENSG00000117472     1   46605745   46686630     27       5  204402       0.2072      0.23377   -7.2164e-16       0.2072
_SET1_   ENSG00000123091     1   51666943   51774127     26       7  204402     -0.38059       0.5191   -7.2164e-16     -0.38059
_SET1_   ENSG00000085832     1   51784935   52020000     78      11  204402      0.95676     0.079996   -7.7716e-16      0.95676
_SET1_   ENSG00000213281     1  115212090  115294515     36       6  204402      0.77236     0.097192   -7.7716e-16      0.77236
_SET1_   ENSG00000116132     1  170596869  170743560    132      20  204402      -0.3507      0.42495   -7.2164e-16      -0.3507
_SET1_   ENSG00000007933     1  171025018  171121959    112      14  204402      0.94346     0.073281   -7.7716e-16      0.94346
_SET1_   ENSG00000159388     1  203239619  203313730     66      12  204402      0.99787      0.06476   -7.7716e-16      0.99787
_SET1_   ENSG00000143845     1  204065190  204156307     74      22  204402     -0.90813      0.65345   -7.7716e-16     -0.90813
_SET1_   ENSG00000143499     1  214419445  214545474    143      20  204402       2.7556   0.00047804   -8.8818e-16       2.7556
_SET1_   ENSG00000143761     1  228235361  228321912     24       4  204402     -0.82368      0.64344   -7.7716e-16     -0.82368
_SET1_   ENSG00000143641     1  230158536  230452870    276      46  204402      0.76591     0.099405   -7.7716e-16      0.76591
