# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = SPIRA_SMOKERS_LUNG_CANCER_UP (set)
# _SET1_  NGENES = 35
# _SET1_  P-VALUE = 1.80467e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000133226     1   24923207   25034758    240      23  195813       0.4563      0.26842    8.5598e-14       0.4563
_SET1_   ENSG00000090621     1   39991488   40077462    224      24  195813      0.83649      0.16125    8.5598e-14      0.83649
_SET1_   ENSG00000117016     1   41051351   41166329    321      31  195813   -0.0084491      0.44751    8.5619e-14   -0.0084491
_SET1_   ENSG00000157060     1  182834000  182957660    302      27  195813     -0.10723      0.55812    8.5612e-14     -0.10723
_SET1_   ENSG00000157856     2   26589784   26714579    311      37  195813        1.402     0.067532    8.5709e-14        1.402
_SET1_   ENSG00000059728     2   70089820   70205077    208      17  195813       2.0296     0.012342    8.5709e-14       2.0296
_SET1_   ENSG00000163661     3  157119578  157196417    242      32  195813      0.31417      0.32555    8.5598e-14      0.31417
_SET1_   ENSG00000124882     4   75195860   75289468    439      24  195813     -0.18686      0.49761    8.5626e-14     -0.18686
_SET1_   ENSG00000138675     4   81152753   81292834    422      40  195813       2.5773    0.0041293    8.5709e-14       2.5773
_SET1_   ENSG00000112137     6   12682893   13323645   1723      83  195813       7.4843   2.6966e-14    8.5265e-14       7.4843
_SET1_   ENSG00000096401     6   44320262   44453163    365      44  195813      0.49607      0.30164    8.5598e-14      0.49607
_SET1_   ENSG00000112118     6   52093807   52184679    301      30  195813       1.6117     0.040471    8.5709e-14       1.6117
_SET1_   ENSG00000003147     7    8117814    8337317    892     105  195813      -1.5516      0.94607    8.5709e-14      -1.5516
_SET1_   ENSG00000136827     9  132540223  132621413    450      21  195813       1.3941     0.056185    8.5709e-14       1.3941
_SET1_   ENSG00000107562    10   44758038   44916941    652      58  195813       5.5541   9.3873e-09    8.5265e-14       5.5541
_SET1_   ENSG00000107984    10   54039056   54112802    188      26  195813       1.9822     0.016696    8.5709e-14       1.9822
_SET1_   ENSG00000173653    11   66575306   66649017    104      16  195813      0.72351      0.22542    8.5598e-14      0.72351
_SET1_   ENSG00000149269    11   76997752   77220680    585      25  195813       2.5727    0.0027924    8.5709e-14       2.5727
_SET1_   ENSG00000167286    11  118174669  118248459    157      24  195813       1.2265     0.087362    8.5709e-14       1.2265
_SET1_   ENSG00000111642    12    6644249    6751642    202      22  195813      -1.1998       0.8588    8.5709e-14      -1.1998
_SET1_   ENSG00000172572    12   20487179   20872315   1282      91  195813       0.8311      0.19825    8.5598e-14       0.8311
_SET1_   ENSG00000206190    15   25887420   26145317   1178     130  195813      0.43183       0.3679    8.5598e-14      0.43183
_SET1_   ENSG00000187446    15   41488037   41609043    353      18  195813       1.7243      0.02669    8.5709e-14       1.7243
_SET1_   ENSG00000169032    15   66644155   66819650    536      26  195813      0.88224      0.14925    8.5598e-14      0.88224
_SET1_   ENSG00000102854    16     775762     853865    144      17  195813       1.3441     0.062814    8.5709e-14       1.3441
_SET1_   ENSG00000072736    16   68083654   68298162    345      14  195813      0.92943      0.13392    8.5598e-14      0.92943
_SET1_   ENSG00000121104    17   47752694   47901542    182      38  195813      0.48405       0.3241    8.5598e-14      0.48405
_SET1_   ENSG00000183691    17   54636060   54707951    119      16  195813       0.1756      0.37213    8.5626e-14       0.1756
_SET1_   ENSG00000179262    19   13021669   13099456    124      22  195813       2.0814     0.013952    8.5709e-14       2.0814
_SET1_   ENSG00000074181    19   15235444   15346792    333      25  195813    -0.071981      0.46311    8.5612e-14    -0.071981
_SET1_   ENSG00000167637    19   44296444   44388307    322      20  195813      0.57595      0.21087    8.5598e-14      0.57595
_SET1_   ENSG00000105374    19   51839860   51910969    284      30  195813     -0.50329      0.63306    8.5598e-14     -0.50329
_SET1_   ENSG00000171552    20   30217255   30346792    232      14  195813       -2.343      0.98321    8.5709e-14       -2.343
_SET1_   ENSG00000184012    21   42801478   42938043    655      51  195813       1.2601      0.08253    8.5709e-14       1.2601
_SET1_   ENSG00000100116    22   38168912   38248183    158      16  195813      0.85723      0.14643    8.5598e-14      0.85723
