# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_1Q32_AMPLICON (set)
# _SET1_  NGENES = 12
# _SET1_  P-VALUE = 3.08677e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000117748     1   28183035   28276257    237      17  214424      0.52356      0.15713   -3.3307e-16      0.52356
_SET1_   ENSG00000084636     1   32082848   32204920    180      20  210265       1.6174     0.017842   -2.2204e-16       1.6174
_SET1_   ENSG00000160781     1  156178206  156252881    163      19  215452      0.39516      0.19923   -2.7756e-16      0.39516
_SET1_   ENSG00000051382     3  138337860  138588780    277       7  215319       1.7715     0.013615   -2.2204e-16       1.7715
_SET1_   ENSG00000109320     4  103387486  103573459    356      14  219940        2.719   0.00067903   -4.4409e-16        2.719
_SET1_   ENSG00000113522     5  131856711  132015313    186      13  208651      -1.2845      0.80227   -2.2204e-16      -1.2845
_SET1_   ENSG00000079931     6  132582194  132757684    379      36  218267    -0.082316      0.32769   -2.7756e-16    -0.082316
_SET1_   ENSG00000177697    11     797843     874831     47       6  209381       4.2596   1.9207e-06             0       4.2596
_SET1_   ENSG00000026508    11   35125417   35288949    524      52  211508       1.5183     0.015773   -2.2204e-16       1.5183
_SET1_   ENSG00000166523    12    8650901    8728559    207      21  217551       1.0021     0.071607   -2.2204e-16       1.0021
_SET1_   ENSG00000165949    14   94536182   94618033    261      25  213980       0.2827      0.21449   -2.7756e-16       0.2827
_SET1_   ENSG00000176387    16   67429555   67506456     89       9  209348      0.27772      0.33307   -2.7756e-16      0.27772
