# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = WARTERS_IR_RESPONSE_5GY (set)
# _SET1_  NGENES = 40
# _SET1_  P-VALUE = 6.00394e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000133216     1   23002332   23276818    215      38  227923       2.5135      0.00708    1.1591e-13       2.5135
_SET1_   ENSG00000116478     1   32722687   32834236     10       6  169318       1.5099      0.11678    1.1613e-13       1.5099
_SET1_   ENSG00000213516     1   89410139   89493643     75      10  227191     -0.31771      0.54388    1.1613e-13     -0.31771
_SET1_   ENSG00000184371     1  110417864  110508614     81      20  229404     0.039033      0.45535    1.1612e-13     0.039033
_SET1_   ENSG00000162909     1  223854295  223998720    131      13  226476     -0.57952       0.6677    1.1613e-13     -0.57952
_SET1_   ENSG00000143727     2     229140     313283     61       6  226835       1.5728     0.034118    1.1613e-13       1.5728
_SET1_   ENSG00000059728     2   70089820   70205077     84       9  240187      -1.7785      0.90284    1.1613e-13      -1.7785
_SET1_   ENSG00000163481     2  219493587  219572134     54       5  221590       3.4937    0.0001371    1.1591e-13       3.4937
_SET1_   ENSG00000115592     2  219652106  219731809     30       5  208976       3.4243   0.00030781    1.1591e-13       3.4243
_SET1_   ENSG00000160796     3   46986173   47086193     36       3  220169      0.36439      0.29327    1.1613e-13      0.36439
_SET1_   ENSG00000171560     4  155469278  155546918     57      12  206776      -1.3056      0.93324    1.1613e-13      -1.3056
_SET1_   ENSG00000145730     5  102054685  102401809    252      11  220531       1.8892     0.013771    1.1613e-13       1.8892
_SET1_   ENSG00000113721     5  149458400  149570435    121      25  228392      -1.8273       0.9641    1.1613e-13      -1.8273
_SET1_   ENSG00000204632     6   29759744   29833902    384      23  222492      0.79187      0.11775    1.1613e-13      0.79187
_SET1_   ENSG00000135318     6   86124809   86240500    100       9  234203       0.9163      0.10596    1.1613e-13       0.9163
_SET1_   ENSG00000106366     7  100735370  100817547     58      13  221970       1.5343     0.057639    1.1613e-13       1.5343
_SET1_   ENSG00000091136     7  107529244  107678700    151      21  220003      0.14111      0.45061     1.161e-13      0.14111
_SET1_   ENSG00000105976     7  116277444  116473440    127      17  230643      0.86604      0.14256    1.1613e-13      0.86604
_SET1_   ENSG00000104447     8  116385724  116856899    353      17  230391       2.6071   0.00065926    1.1591e-13       2.6071
_SET1_   ENSG00000171843     9   20306663   20657542    302      42  219057       2.0017     0.030686    1.1591e-13       2.0017
_SET1_   ENSG00000204291     9  101670461  101868069    191      24  227435        1.001      0.13265    1.1613e-13        1.001
_SET1_   ENSG00000165029     9  107508283  107725518    307      53  247949     -0.66253      0.65841    1.1613e-13     -0.66253
_SET1_   ENSG00000148498    10   34363488   35139253    733      48  226512       1.8324    0.0041596    1.1613e-13       1.8324
_SET1_   ENSG00000186895    11   69589992   69668792     84      14  228570       1.1608     0.091567    1.1613e-13       1.1608
_SET1_   ENSG00000151067    12    2044952    2837108    819     110  223109      0.51278      0.30432    1.1613e-13      0.51278
_SET1_   ENSG00000184613    12   44867058   45350631    397      39  224153       1.5492     0.041499    1.1613e-13       1.5492
_SET1_   ENSG00000139329    12   91461406   91540608     93      13  225758      0.79537       0.2105    1.1613e-13      0.79537
_SET1_   ENSG00000122034    13   27963681   28044958     86      12  232903       5.6282    1.823e-09    1.1635e-13       5.6282
_SET1_   ENSG00000159337    15   42324207   42421752    179      25  228756      0.39986      0.31095    1.1613e-13      0.39986
_SET1_   ENSG00000034152    17   21152984   21253552     47       8  225353       2.8311    0.0012682    1.1591e-13       2.8311
_SET1_   ENSG00000161570    17   34163495   34242797     46       4  220056      -1.5278      0.93473    1.1613e-13      -1.5278
_SET1_   ENSG00000161526    17   73628196   73739142     51       5  214199     -0.86643      0.79692    1.1613e-13     -0.86643
_SET1_   ENSG00000167291    17   77871142   78044647    112      38  181051      0.77421      0.50885    1.1613e-13      0.77421
_SET1_   ENSG00000134443    18   56852400   56933006     98      19  210763       4.2765   2.4153e-05    1.1635e-13       4.2765
_SET1_   ENSG00000160111    19   16968758   17172625    140      37  215333      0.97617      0.27315    1.1613e-13      0.97617
_SET1_   ENSG00000124459    19   44381781   44474430     92       7  213995      0.77744      0.20262    1.1613e-13      0.77744
_SET1_   ENSG00000142192    21   27217861   27578446    389      42  228710  -0.00098142      0.42111    1.1611e-13  -0.00098142
_SET1_   ENSG00000156261    21   30393126   30481118     55       9  223474       1.9874     0.017487    1.1613e-13       1.9874
_SET1_   ENSG00000100097    22   38036615   38110813     38       8  223803      0.42994      0.27585    1.1613e-13      0.42994
_SET1_   ENSG00000075275    22   46721731   46968067    237      44  215959     -0.18892      0.70213     1.161e-13     -0.18892
