# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_CTLA4_INHIBITORY_SIGNALING (set)
# _SET1_  NGENES = 21
# _SET1_  P-VALUE = 5.79116e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000084636     1   32082848   32204920    180      20  210265       1.6174     0.017842   -2.2204e-16       1.6174
_SET1_   ENSG00000116604     1  156398519  156505620    165      21  219775       1.4186     0.032749   -2.2204e-16       1.4186
_SET1_   ENSG00000052795     4  159655290  159864201    311      13  217254       1.6532     0.016903   -2.2204e-16       1.6532
_SET1_   ENSG00000145703     5   75664074   76038957    983      79  215710     -0.63065       0.4273   -3.3307e-16     -0.63065
_SET1_   ENSG00000213780     6   30840961   30916883    292      17  213817      -2.5714      0.98152   -4.4409e-16      -2.5714
_SET1_   ENSG00000127955     7   79728271   79883718    303      31  214993    -0.087841      0.33349   -2.7756e-16    -0.087841
_SET1_   ENSG00000005249     7  106650094  106837256    380      26  215694      0.12145      0.25744   -2.7756e-16      0.12145
_SET1_   ENSG00000129691     8   37927760   38036594     52      12  203000       1.4119     0.035982   -2.2204e-16       1.4119
_SET1_   ENSG00000042832     8  133844203  134182147    952      45  220962      0.64762     0.080058   -3.3307e-16      0.64762
_SET1_   ENSG00000186803     9   21171180   21242142    299       9  217748      -1.5108       0.8694   -2.2204e-16      -1.5108
_SET1_   ENSG00000120156     9   27074139   27265173    872      68  220347      -2.3002      0.94192   -4.4409e-16      -2.3002
_SET1_   ENSG00000119523     9  101943708  102019238    128       4  216129       3.4528   0.00015547   -4.4409e-16       3.4528
_SET1_   ENSG00000107021     9  131514483  131607711    168      11  221924      0.61388      0.16697   -3.3307e-16      0.61388
_SET1_   ENSG00000149485    11   61532099   61631790    182      18  218024    0.0053597      0.32907   -2.7929e-16    0.0053597
_SET1_   ENSG00000175591    11   72894343   72982397    150      27  219117       1.8925    0.0099425   -2.2204e-16       1.8925
_SET1_   ENSG00000139318    12   89706009   89782048    182      23  215928       4.5374   3.8213e-07             0       4.5374
_SET1_   ENSG00000129521    14   34358437   34966980   1684     148  211031     -0.99812      0.47229   -3.3307e-16     -0.99812
_SET1_   ENSG00000100644    14   62127231   62249976    259      22  212132      0.89371     0.091351   -3.3307e-16      0.89371
_SET1_   ENSG00000103202    16     411725     495367     63       9  193538        2.012    0.0077243   -4.4409e-16        2.012
_SET1_   ENSG00000131469    17   41115290   41189976     84       7  215743       2.5648    0.0018091   -4.4409e-16       2.5648
_SET1_   ENSG00000100030    22   22073789   22256970    378      23  217002       1.4612     0.024072   -2.2204e-16       1.4612
