# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 1.60843e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000162437     1   65175778   65333915    285      19  218050     -0.26271      0.42709   -2.7756e-16     -0.26271
_SET1_   ENSG00000134215     1  108078782  108542766   1345      80  217043       2.6983   0.00015449   -4.4409e-16       2.6983
_SET1_   ENSG00000136634     1  206905947  206980839    186      35  201648      -1.0083      0.68483   -2.2204e-16      -1.0083
_SET1_   ENSG00000066032     2   79377357   80910905   4246     252  214823       2.4054   9.5323e-05   -4.4409e-16       2.4054
_SET1_   ENSG00000182568     3   18351879   18522080    324      37  217429       2.8276   0.00039414   -4.4409e-16       2.8276
_SET1_   ENSG00000114554     3  126672437  126791235    281      21  197482      0.46242      0.16943   -2.7756e-16      0.46242
_SET1_   ENSG00000109758     4    3408614    3486211    223      35  203412     -0.60029      0.52385   -3.3307e-16     -0.60029
_SET1_   ENSG00000164023     4  108710719  108871203    318      35  218528      0.38399      0.18424   -2.7756e-16      0.38399
_SET1_   ENSG00000150630     4  177569689  177748881    378      16  220944       1.9825    0.0084711   -2.2204e-16       1.9825
_SET1_   ENSG00000169131     5  178103593  178192703    268      17  212828       1.8708    0.0090372   -2.2204e-16       1.8708
_SET1_   ENSG00000154589     8   74868587   74976322    262      17  217913       2.3778    0.0023484   -4.4409e-16       2.3778
_SET1_   ENSG00000173486    11   63973475   64046604    115      18  219009       1.0211     0.079425   -2.2204e-16       1.0211
_SET1_   ENSG00000156076    12   65409406   65550346    186      18  220688     0.089347      0.30698   -2.7756e-16     0.089347
_SET1_   ENSG00000122986    12  111030646  111177755    254      12  167353       1.5626     0.032545   -2.2204e-16       1.5626
_SET1_   ENSG00000177084    12  133165348  133298951    394      17  192027      0.93178     0.065285   -3.3307e-16      0.93178
