# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = YAGUE_PRETUMOR_DRUG_RESISTANCE_DN (set)
# _SET1_  NGENES = 12
# _SET1_  P-VALUE = 1.73217e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000173947     1  111853910  111930635    114      16  204402      -0.3032      0.40491   -7.2164e-16      -0.3032
_SET1_   ENSG00000163219     2   68871733   69088965    301      33  204402    -0.020829      0.28353   -7.2858e-16    -0.020829
_SET1_   ENSG00000115232     2  182286929  182435914    140      18  204402      -1.2275      0.74995   -6.6613e-16      -1.2275
_SET1_   ENSG00000145040     3   48564160   48636206     23       5  204402       1.0712     0.075732   -6.6613e-16       1.0712
_SET1_   ENSG00000170571     5   49657026   49774082     38       4  204402      0.24697      0.22445   -7.2164e-16      0.24697
_SET1_   ENSG00000120265     6  150035579  150167556     59       1  204402     -0.10705      0.37522   -7.3552e-16     -0.10705
_SET1_   ENSG00000119138     9   72964503   73064540     39       8  204402      0.38061      0.17942   -7.2164e-16      0.38061
_SET1_   ENSG00000149948    12   66182911   66395075    104      19  204402       1.2514     0.040459   -6.6613e-16       1.2514
_SET1_   ENSG00000137841    15   40535377   40635136     63      19  204402       3.3095   6.1402e-05   -8.8818e-16       3.3095
_SET1_   ENSG00000129009    15   74431012   74504213     46       7  204402      0.46824      0.16242   -7.2164e-16      0.46824
_SET1_   ENSG00000031823    19    5881150    6013153     70       8  204402      0.56024      0.13684   -7.7716e-16      0.56024
_SET1_   ENSG00000128016    19   39862453   39935052     35       9  204402        2.623   0.00077008   -8.8818e-16        2.623
