# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_6P24_P22_AMPLICON (set)
# _SET1_  NGENES = 21
# _SET1_  P-VALUE = 2.3805e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000163221     1  153311184  153383125    287      22  143696     -0.81498      0.70296   -2.9976e-15     -0.81498
_SET1_   ENSG00000084676     2   24679783   25028571   1074      42  145284       1.1773     0.063986   -3.1086e-15       1.1773
_SET1_   ENSG00000172954     2   30635092   30902091   1200      39  145466      0.79813      0.12139   -2.9976e-15      0.79813
_SET1_   ENSG00000223865     6   33008703   33089978   1407      35  143084      -1.0869      0.75259   -3.1086e-15      -1.0869
_SET1_   ENSG00000096384     6   44179824   44256620    308      56  145067      -1.4402      0.86855   -3.1086e-15      -1.4402
_SET1_   ENSG00000189056     7  103077231  103664963   2824     143  148562       2.0409     0.005782   -3.1086e-15       2.0409
_SET1_   ENSG00000185681     9  124887190  124997367    407      57  145682      0.37746      0.23989   -2.9976e-15      0.37746
_SET1_   ENSG00000174775    11     497242     572287    498      45  143154       1.5365     0.031532   -3.1086e-15       1.5365
_SET1_   ENSG00000053918    11    2430914    2905339   2063     220  136966       7.2428    2.899e-16   -2.6645e-15       7.2428
_SET1_   ENSG00000133812    11    9765214   10350754   2583      62  144973      0.35957      0.19275   -2.9976e-15      0.35957
_SET1_   ENSG00000182450    11   64023774   64102503    171      41  130224      0.41403      0.23233   -2.9976e-15      0.41403
_SET1_   ENSG00000150782    11  111978974  112069840    286      40  133664       2.4633    0.0025153   -3.1086e-15       2.4633
_SET1_   ENSG00000121361    12   21882889   21963515    120      40  132596       2.5163    0.0026704   -3.1086e-15       2.5163
_SET1_   ENSG00000136167    13   46665055   46821006    644      74  142037       1.2763      0.05307   -3.1086e-15       1.2763
_SET1_   ENSG00000092208    14   39548427   39641177    332      31  147411       1.5805     0.029263   -3.1086e-15       1.5805
_SET1_   ENSG00000178188    16   28822921   28920526    244      20  130472       1.1962     0.061318   -3.1086e-15       1.1962
_SET1_   ENSG00000072310    17   17678713   17775325    229      31  138799       3.1092   0.00027373   -3.1086e-15       3.1092
_SET1_   ENSG00000188554    17   41287498   41398708    326      13  140489       1.2364     0.058763   -3.1086e-15       1.2364
_SET1_   ENSG00000108423    17   57901851   58005304    248      31  139486      0.26417      0.27254   -2.9976e-15      0.26417
_SET1_   ENSG00000108622    17   62044954   62132994    214      60  126867        2.612    0.0016063   -3.1086e-15        2.612
_SET1_   ENSG00000204604    19   53306261   53395902    584      54  139817     -0.22229      0.44786   -3.0254e-15     -0.22229
