# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_SIGNALING_BY_ERYTHROPOIETIN (set)
# _SET1_  NGENES = 25
# _SET1_  P-VALUE = 2.90864e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000137955     1   76216879   76295764    274      20  195813      0.46141      0.25727    8.5598e-14      0.46141
_SET1_   ENSG00000143365     1  151743547  151839348    240      33  195813       3.4095     0.000196    8.5709e-14       3.4095
_SET1_   ENSG00000143149     1  165596453  165703100    458      43  195813      0.26222       0.3469    8.5598e-14      0.26222
_SET1_   ENSG00000117586     1  173117873  173211452    251      31  195813     -0.79764      0.75783    8.5598e-14     -0.79764
_SET1_   ENSG00000198369     2   65502985   65694771    572      37  195813       1.8681     0.021397    8.5709e-14       1.8681
_SET1_   ENSG00000135913     2  219279974  219468084    294       8  195813     -0.69303      0.64503    8.5598e-14     -0.69303
_SET1_   ENSG00000075539     4   48464378   48817339    505      22  195813      0.38996      0.27035    8.5598e-14      0.38996
_SET1_   ENSG00000185305     5   53144775   53641412   1742     112  195813       3.2926   0.00057684    8.5709e-14       3.2926
_SET1_   ENSG00000154978     7   55468749   55675681    865      30  195813          1.6     0.040295    8.5709e-14          1.6
_SET1_   ENSG00000127946     7   75127621   75403280    901      77  195813      0.78807      0.20143    8.5598e-14      0.78807
_SET1_   ENSG00000147454     8   23351318   23467976    677      43  195813     -0.81234      0.74771    8.5598e-14     -0.81234
_SET1_   ENSG00000170312    10   62503089   62589610    315      29  195813      0.73748      0.18483    8.5598e-14      0.73748
_SET1_   ENSG00000148795    10  104555288  104632290    202      23  195813       4.2701    4.642e-06    8.5265e-14       4.2701
_SET1_   ENSG00000173039    11   65386067   65465565    151      16  195813        3.646   6.0772e-05    8.5709e-14        3.646
_SET1_   ENSG00000139318    12   89706009   89782048    220      30  195813       1.3678     0.076852    8.5709e-14       1.3678
_SET1_   ENSG00000102837    13   53567894   53661192    302      42  195813        2.274    0.0088854    8.5709e-14        2.274
_SET1_   ENSG00000129562    14   22998805   23093175    443      35  195813    -0.092882      0.48048    8.5612e-14    -0.092882
_SET1_   ENSG00000128917    15   41186538   41266237    219      30  195813      0.56255      0.24848    8.5598e-14      0.56255
_SET1_   ENSG00000102921    16   48537637   48689059    320      10  195813      0.87705      0.11942    8.5598e-14      0.87705
_SET1_   ENSG00000161960    17    7441024    7517323    193      26  195813        1.739     0.030261    8.5709e-14        1.739
_SET1_   ENSG00000005156    17   33272513   33367083    115      25  195813      0.87126      0.17266    8.5598e-14      0.87126
_SET1_   ENSG00000158955    17   44875567   44999096    231      32  195813       3.1256   0.00063308    8.5709e-14       3.1256
_SET1_   ENSG00000168646    17   63489681   63592765    273      52  195813       3.1738   0.00066296    8.5709e-14       3.1738
_SET1_   ENSG00000141564    17   78483619   78975171   2018      74  195813       2.1031     0.014385    8.5709e-14       2.1031
_SET1_   ENSG00000105137    19   15183214   15260799    329      37  195813     -0.16565      0.51542    8.5626e-14     -0.16565
