# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_SIGNALLING_TO_ERKS (set)
# _SET1_  NGENES = 34
# _SET1_  P-VALUE = 1.75718e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000188786     1   38240239   38360292    286      26  59957      0.81301     0.052518    1.8319e-14      0.81301
_SET1_   ENSG00000116717     1   68115744   68189021    228      33  59957      0.80523     0.046122    1.8319e-14      0.80523
_SET1_   ENSG00000117691     1  212571229  212654714    316      41  59957     -0.61505      0.40695    1.8319e-14     -0.61505
_SET1_   ENSG00000169760     3  173079074  174039434   3114     184  59957     -0.90069      0.46613    1.8319e-14     -0.90069
_SET1_   ENSG00000145494     5    1766514    1851719    407      31  59957       -2.085      0.90714    1.8208e-14       -2.085
_SET1_   ENSG00000145623     5   38810960   38980698    521      48  59957       3.2528   2.4787e-05    1.8208e-14       3.2528
_SET1_   ENSG00000081189     5   87978975   88234922    531      41  59957       2.0862    0.0019324    1.8208e-14       2.0862
_SET1_   ENSG00000125347     5  131782301  131861490    269      24  59957       6.8025   9.2974e-15    1.8652e-14       6.8025
_SET1_   ENSG00000120129     5  172160093  172233198    302      52  59957       2.7472   0.00012082    1.8208e-14       2.7472
_SET1_   ENSG00000106636     7   44205567   44288893    263      31  59957       1.3493     0.015661    1.8208e-14       1.3493
_SET1_   ENSG00000146966     7  140183220  140408793    658      70  59957      0.76863     0.048181    1.8319e-14      0.76863
_SET1_   ENSG00000186562     8    7644488    7716411      5       3  59957       2.6812   0.00073788    1.8208e-14       2.6812
_SET1_   ENSG00000122140     9  138356830  138431519    300      44  59957        1.857    0.0031354    1.8208e-14        1.857
_SET1_   ENSG00000107864    10   93771449   94085844    541      32  59957       2.7194    0.0002304    1.8208e-14       2.7194
_SET1_   ENSG00000171311    10   99160899   99240774    215      42  59957       1.4181    0.0098417    1.8208e-14       1.4181
_SET1_   ENSG00000198730    11   10737534   10836290    300      57  59957      0.44262     0.083188    1.8263e-14      0.44262
_SET1_   ENSG00000158555    11   75110685   75271948    513      46  59957     -0.71583      0.47064    1.8319e-14     -0.71583
_SET1_   ENSG00000161638    12   54754045   54848244    182      30  59957    -0.098821      0.25958    1.8291e-14    -0.098821
_SET1_   ENSG00000075673    13   25219549   25320921    506      56  59957      0.27677      0.12115    1.8263e-14      0.27677
_SET1_   ENSG00000136104    13   51448814   51579592    358      48  59957      -1.5262       0.7415    1.8208e-14      -1.5262
_SET1_   ENSG00000100567    14   58676549   58773730    190      22  59957     -0.48661        0.371    1.8263e-14     -0.48661
_SET1_   ENSG00000059145    16    1378206    1499752    444      47  59957      -1.9913      0.88081    1.8208e-14      -1.9913
_SET1_   ENSG00000108671    17   30736279   30845336    192      40  59957       1.8055    0.0029718    1.8208e-14       1.8055
_SET1_   ENSG00000125686    17   37525538   37642539    257      15  59957       2.4603    0.0010347    1.8208e-14       2.4603
_SET1_   ENSG00000168610    17   40430342   40575586    360      27  59957        6.478   2.4423e-13    1.8652e-14        6.478
_SET1_   ENSG00000198265    17   65031554   65277105    596      32  59957    -0.052025      0.26427    1.8291e-14    -0.052025
_SET1_   ENSG00000176014    18   12272668   12379319    359      23  59957       1.6905    0.0084219    1.8208e-14       1.6905
_SET1_   ENSG00000167088    18   19157228   19245417    127      14  59957     -0.25603      0.29659    1.8263e-14     -0.25603
_SET1_   ENSG00000196628    18   52854562   53367018   1073      86  59957       3.6359    3.679e-06    1.8208e-14       3.6359
_SET1_   ENSG00000105655    19   18510198   18584111    212      27  59957        2.457   0.00052752    1.8208e-14        2.457
_SET1_   ENSG00000197838    19   41559377   41637100    339      24  59957      -1.2487      0.71718    1.8208e-14      -1.2487
_SET1_   ENSG00000101311    20    6020492    6139191    516      56  59957       4.5346   2.9236e-08    1.8652e-14       4.5346
_SET1_   ENSG00000180530    21   16298556   16472321    458      69  59957        1.837    0.0026908    1.8208e-14        1.837
_SET1_   ENSG00000241360    22   38019734   38097941    247      33  59957      0.48985     0.084558    1.8263e-14      0.48985
