# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS (set)
# _SET1_  NGENES = 20
# _SET1_  P-VALUE = 7.86831e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000081277     1  201217580  201337121    418      28  220608      0.46626      0.16312   -2.7756e-16      0.46626
_SET1_   ENSG00000049323     2   33137039   33659576   2001      93  218425      -1.3921      0.60726   -2.2204e-16      -1.3921
_SET1_   ENSG00000168374     3   57522090   57618947    217      18  216391       0.4978      0.17162   -2.7756e-16       0.4978
_SET1_   ENSG00000164120     4  175376328  175479305    356      40  215358       1.8889    0.0073274   -2.2204e-16       1.8889
_SET1_   ENSG00000215218     5    6413736    6530022    427      53  215936       1.2443     0.035144   -2.2204e-16       1.2443
_SET1_   ENSG00000113319     5   80221491   80560975    921      86  213840     -0.18392      0.27232   -2.7756e-16     -0.18392
_SET1_   ENSG00000135547     6  126033810  126117415    121      11  215630       0.2326      0.26285   -2.7756e-16       0.2326
_SET1_   ENSG00000002822     7    1820429    2307878   1814      33  206246        2.897   3.6521e-05   -4.4409e-16        2.897
_SET1_   ENSG00000106415     7    7973425    8168902    618      43  211020      0.26928      0.17394   -2.7756e-16      0.26928
_SET1_   ENSG00000146833     7   99439581   99552223    260      18  219841     -0.14425      0.37919   -2.7756e-16     -0.14425
_SET1_   ENSG00000196411     7  100365187  100460121    225      26  214432     -0.38114      0.45662   -2.7756e-16     -0.38114
_SET1_   ENSG00000179091     8  145114930  145187428    100       2  215155    -0.099116       0.4788   -2.7756e-16    -0.099116
_SET1_   ENSG00000147799     8  145719563  145946194    130       6  211555       1.6411     0.030081   -2.2204e-16       1.6411
_SET1_   ENSG00000120645    12     140931     322626    404      49  199019       1.4549     0.018126   -2.2204e-16       1.4549
_SET1_   ENSG00000181929    12   49361057   49447980     82      16  208035       3.6922   1.9557e-05   -4.4409e-16       3.6922
_SET1_   ENSG00000172789    12   54391637   54464142     94      17  212800       1.6868     0.017163   -2.2204e-16       1.6868
_SET1_   ENSG00000133112    13   45876008   45950505    247      24  219525    -0.088487      0.35223   -2.7756e-16    -0.088487
_SET1_   ENSG00000108946    17   66472921   66582460    260      27  217938      0.37061      0.19583   -2.7756e-16      0.37061
_SET1_   ENSG00000170889    19   54669610   54787862    213      30  192734      0.14204      0.24244   -2.7756e-16      0.14204
_SET1_   ENSG00000101384    20   10583332   10689694    234      40  217022     -0.70843      0.58382   -3.3307e-16     -0.70843
