# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN (set)
# _SET1_  NGENES = 713
# _SET1_  P-VALUE = 8.83627e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000179403     1    1335241    1413262    287      30  59957       4.8286   2.2424e-08    1.8652e-14       4.8286
_SET1_   ENSG00000078369     1    1681729    1857495    375      26  59957       3.9958   8.7078e-07    1.8208e-14       3.9958
_SET1_   ENSG00000078900     1    3534084    3687765    582      86  59957     -0.48276      0.31142    1.8263e-14     -0.48276
_SET1_   ENSG00000097021     1    6289329    6489451    763      42  59957       2.4243    0.0014357    1.8208e-14       2.4243
_SET1_   ENSG00000049246     1    7809380    7940237    554      38  59957       3.4398    1.105e-05    1.8208e-14       3.4398
_SET1_   ENSG00000171608     1    9676790    9824172    375      63  59957     -0.81002      0.46695    1.8319e-14     -0.81002
_SET1_   ENSG00000162438     1   15729935   15810737    285      49  59957       1.9105    0.0022902    1.8208e-14       1.9105
_SET1_   ENSG00000159363     1   17277453   17373423    281      30  59957     -0.54757      0.37542    1.8319e-14     -0.54757
_SET1_   ENSG00000158828     1   20924948   21013004    344      27  59957      -1.2076      0.64854    1.8208e-14      -1.2076
_SET1_   ENSG00000117602     1   24794387   24902530    397      43  59957     -0.80302      0.46165    1.8319e-14     -0.80302
_SET1_   ENSG00000117676     1   26821252   26936521    278      32  59957       2.0686    0.0019515    1.8208e-14       2.0686
_SET1_   ENSG00000000938     1   27903575   27996788    183      34  59957      0.57302      0.11329    1.8319e-14      0.57302
_SET1_   ENSG00000180198     1   28797455   28900812    269      19  59957      0.22855      0.19099    1.8291e-14      0.22855
_SET1_   ENSG00000168528     1   31847412   31942525    400      27  59957       1.1552     0.026833    1.8208e-14       1.1552
_SET1_   ENSG00000160050     1   32630987   32705988    142      18  59957      -1.9387      0.91749    1.8208e-14      -1.9387
_SET1_   ENSG00000142687     1   35864091   36058551    297      25  59957     -0.29938      0.42739    1.8263e-14     -0.29938
_SET1_   ENSG00000163874     1   37905153   37984980    272      36  59957    -0.029686      0.19124    1.8287e-14    -0.029686
_SET1_   ENSG00000163877     1   37965050   38054903    265      24  59957     -0.56314      0.42219    1.8319e-14     -0.56314
_SET1_   ENSG00000198815     1   42607210   42836548    513      30  59957      0.84388     0.060056    1.8319e-14      0.84388
_SET1_   ENSG00000171960     1   43089096   43177429    219      27  59957       1.0919     0.025988    1.8208e-14       1.0919
_SET1_   ENSG00000117399     1   43789626   43863874    137      24  59957      0.30465      0.11357    1.8263e-14      0.30465
_SET1_   ENSG00000117407     1   44363992   44437913    177      21  59957      -1.2034       0.6887    1.8208e-14      -1.2034
_SET1_   ENSG00000117411     1   44409615   44491840    183      31  59957      -1.4427      0.75318    1.8208e-14      -1.4427
_SET1_   ENSG00000117461     1   46470812   46677160    460      35  59957       1.1605     0.024058    1.8208e-14       1.1605
_SET1_   ENSG00000085840     1   52803501   52905131    180      36  59957       0.9573     0.049902    1.8319e-14       0.9573
_SET1_   ENSG00000116678     1   65851248   66142242    973      43  59957       0.1757      0.16066    1.8291e-14       0.1757
_SET1_   ENSG00000162594     1   67597083   67760662    539      42  59957       8.2155   6.3212e-20    1.7764e-14       8.2155
_SET1_   ENSG00000172260     1   71826623   72783417   2333     123  59957    -0.026578      0.18233    1.8287e-14    -0.026578
_SET1_   ENSG00000116791     1   75136170   75234092    337      36  59957      0.55474     0.078784    1.8319e-14      0.55474
_SET1_   ENSG00000057468     1   76227567   76413923    702      32  59957     -0.87027       0.5736    1.8319e-14     -0.87027
_SET1_   ENSG00000137965     1   79080481   79164763    252      35  59957      -1.1765       0.6348    1.8208e-14      -1.1765
_SET1_   ENSG00000142875     1   84508745   84739181    515      40  59957      -1.4247      0.72399    1.8208e-14      -1.4247
_SET1_   ENSG00000171502     1   86159916   86657626   1954      79  59957       -1.286      0.65721    1.8208e-14       -1.286
_SET1_   ENSG00000174842     1   92676959   92799544    203      28  59957       2.7678   0.00013929    1.8208e-14       2.7678
_SET1_   ENSG00000117620     1  100400345  100527535    440      29  59957      0.24607      0.21186    1.8291e-14      0.24607
_SET1_   ENSG00000168679     1  110870470  110968704    257      21  59957     -0.06761      0.22637    1.8291e-14     -0.06761
_SET1_   ENSG00000143119     1  111380775  111477550    432      29  59957       1.4005     0.013703    1.8208e-14       1.4005
_SET1_   ENSG00000116473     1  112049840  112294313    918      67  59957      -1.7324      0.81272    1.8208e-14      -1.7324
_SET1_   ENSG00000116489     1  113126795  113249241    245      26  59957        2.862   0.00010242    1.8208e-14        2.862
_SET1_   ENSG00000197323     1  114900399  115088781    548      36  59957      -1.3309      0.74417    1.8208e-14      -1.3309
_SET1_   ENSG00000134258     1  117651209  117788556    495      59  59957     -0.24061      0.28397    1.8291e-14     -0.24061
_SET1_   ENSG00000117289     1  145403469  145477635     78      21  59957      0.27595       0.1338    1.8263e-14      0.27595
_SET1_   ENSG00000131795     1  145472598  145548536     73      21  59957      0.80511      0.04228    1.8319e-14      0.80511
_SET1_   ENSG00000121634     1  147339946  147416393    202      35  59957     -0.57918       0.4084    1.8319e-14     -0.57918
