# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = PID_SYNDECAN_4_PATHWAY (set)
# _SET1_  NGENES = 32
# _SET1_  P-VALUE = 2.96227e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000142864     1   67838493   67931098    239      29  59957       5.2905   3.6524e-10    1.8652e-14       5.2905
_SET1_   ENSG00000160752     1  155243539  155325457    138      20  59957       5.3219        5e-10    1.8652e-14       5.3219
_SET1_   ENSG00000132676     1  155622751  155743801    174      27  59957       4.0247   7.7791e-07    1.8652e-14       4.0247
_SET1_   ENSG00000134324     2   11782721   12002535    855     111  59957      0.87842     0.034161    1.8319e-14      0.87842
_SET1_   ENSG00000144231     2  128568840  128650731    291      29  59957      0.17717       0.1591    1.8291e-14      0.17717
_SET1_   ENSG00000065413     2  197796741  198210897   1272      90  59957      0.50651     0.090105    1.8319e-14      0.50651
_SET1_   ENSG00000144645     3   31664382   32154072   1776     161  59957     -0.70669      0.39694    1.8319e-14     -0.70669
_SET1_   ENSG00000138801     4  108476433  108676608    600      48  59957     -0.38266      0.31127    1.8263e-14     -0.38266
_SET1_   ENSG00000213719     6   31663358   31742540    236      49  59957       6.5429   9.1037e-14    1.8652e-14       6.5429
_SET1_   ENSG00000231500     6   33204787   33279287    194      29  59957       2.7039   0.00019352    1.8208e-14       2.7039
_SET1_   ENSG00000122550     7   23110353   23252533    495      21  59957     0.061631      0.23667    1.8291e-14     0.061631
_SET1_   ENSG00000242265     7   94250637   94334007    172      25  59957       1.0927     0.028854    1.8208e-14       1.0927
_SET1_   ENSG00000078674     8   17745349   17920478    918      31  59957      0.27281      0.17746    1.8263e-14      0.27281
_SET1_   ENSG00000196139    10    5042546    5184878    844      53  59957      -2.2012      0.90399    1.8208e-14      -2.2012
_SET1_   ENSG00000107831    10  103494899  103570854     97      24  59957      0.53056     0.081985    1.8319e-14      0.53056
_SET1_   ENSG00000173120    11   66851740   67060558    287      31  59957      0.36951      0.19698    1.8263e-14      0.36951
_SET1_   ENSG00000118971    12    4347938    4449516    306      73  59957     -0.41581       0.2639    1.8263e-14     -0.41581
_SET1_   ENSG00000111046    12   81066277   81138253    198      23  59957      0.93979     0.040383    1.8319e-14      0.93979
_SET1_   ENSG00000049130    12   88851570   89009628    311      17  59957     -0.72433      0.57216    1.8319e-14     -0.72433
_SET1_   ENSG00000176894    12  133229192  133332276    350      32  59957     -0.33865      0.30166    1.8263e-14     -0.33865
_SET1_   ENSG00000179399    13   92015929   93554490   5221     263  59957     -0.64977      0.35589    1.8319e-14     -0.64977
_SET1_   ENSG00000214274    14   21117336   21202130    376      70  59957     -0.40652      0.27301    1.8263e-14     -0.40652
_SET1_   ENSG00000182979    14  105851159  105972066    178      59  59957      0.74048     0.055045    1.8319e-14      0.74048
_SET1_   ENSG00000103876    15   80409832   80514288    384      45  59957      -1.1187      0.58521    1.8208e-14      -1.1187
_SET1_   ENSG00000103275    16    1320548    1412019    421      40  59957      -2.1621      0.91245    1.8208e-14      -2.1621
_SET1_   ENSG00000197943    16   81737702   82026899   1861     164  59957       4.6021   9.7522e-09    1.8652e-14       4.6021
_SET1_   ENSG00000161921    17    4601821    4678217    315      56  59957       1.4847    0.0065791    1.8208e-14       1.4847
_SET1_   ENSG00000267596    17   34288476   34364084    357      34  59957      -1.6485       0.8203    1.8208e-14      -1.6485
_SET1_   ENSG00000180340    17   42599925   42671907    220      31  59957      -1.0444      0.56673    1.8208e-14      -1.0444
_SET1_   ENSG00000198795    18   22606890   22967154   1098     124  59957       1.2856     0.012505    1.8208e-14       1.2856
_SET1_   ENSG00000105675    19   36005945   36089560    272      52  59957     -0.97347      0.50309    1.8319e-14     -0.97347
_SET1_   ENSG00000101311    20    6020492    6139191    516      56  59957       4.5346   2.9236e-08    1.8652e-14       4.5346
