# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = SU_PANCREAS (set)
# _SET1_  NGENES = 37
# _SET1_  P-VALUE = 6.00673e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000171790     1   41446269   41523909     62      10  204402     -0.25507      0.40051   -7.2164e-16     -0.25507
_SET1_   ENSG00000116678     1   65851248   66142242    274      19  204402       7.7396   3.2597e-17   -8.8818e-16       7.7396
_SET1_   ENSG00000116824     1  117262007  117346850     65      11  204402       1.2949     0.035896   -6.6613e-16       1.2949
_SET1_   ENSG00000116132     1  170596869  170743560    132      20  204402      -0.3507      0.42495   -7.2164e-16      -0.3507
_SET1_   ENSG00000135862     1  182957595  183149727    223       9  204402       0.1077       0.2401   -7.3552e-16       0.1077
_SET1_   ENSG00000171848     2   10227455   10306545     40       9  204402      0.24978      0.21673   -7.2164e-16      0.24978
_SET1_   ENSG00000239779     2   74650456   74723018     20       2  204402      0.59844      0.16009   -7.7716e-16      0.59844
_SET1_   ENSG00000172318     2  168640182  168765551     98      17  204402     -0.27695      0.40685   -7.2164e-16     -0.27695
_SET1_   ENSG00000077092     3   25180823   25674423    634      70  204402       1.0243      0.05033   -6.6613e-16       1.0243
_SET1_   ENSG00000129071     3  129114787  129193878     34       4  204402     -0.60307      0.57373   -7.7716e-16     -0.60307
_SET1_   ENSG00000163655     3  155553325  155696815     78       9  204402     -0.65973      0.56008   -7.7716e-16     -0.65973
_SET1_   ENSG00000138669     4   81974837   82171218    128      17  204402      -1.7785      0.89809   -6.6613e-16      -1.7785
_SET1_   ENSG00000170509     4   88189941   88279058     66       9  204402     0.021811      0.28802   -7.2858e-16     0.021811
_SET1_   ENSG00000138796     4  108875870  108991331    104       5  204402     -0.70323       0.6148   -7.7716e-16     -0.70323
_SET1_   ENSG00000155545     5   56180429   56302502    111      13  204402       1.8411    0.0086831   -6.6613e-16       1.8411
_SET1_   ENSG00000183258     5  176903578  176979470      1       1  204402       1.0399     0.097895   -6.6613e-16       1.0399
_SET1_   ENSG00000112799     6    6553341    6690216    196      41  204402       2.0195     0.005716   -8.8818e-16       2.0195
_SET1_   ENSG00000124688     6   43562277   43643689     18       4  204402      0.40257      0.25391   -7.2164e-16      0.40257
_SET1_   ENSG00000136997     8  128712680  128788674     49      17  204402      -1.4719       0.8378   -6.6613e-16      -1.4719
_SET1_   ENSG00000147889     9   21932751   22030300     63      10  204402     -0.83554       0.6166   -7.7716e-16     -0.83554
_SET1_   ENSG00000111652    12    6797907    6876041     32       7  204402      0.93442     0.075289   -7.7716e-16      0.93442
_SET1_   ENSG00000134531    12   13314650   13404708    119      25  204402     -0.29162      0.40962   -7.2164e-16     -0.29162
_SET1_   ENSG00000172572    12   20487179   20872315    364      47  204402     0.063945      0.26123   -7.3552e-16     0.063945
_SET1_   ENSG00000174437    12  110683561  110823898     29       8  204402      0.67962      0.13266   -7.7716e-16      0.67962
_SET1_   ENSG00000111445    12  118416393  118505935     49      13  204402      0.58216      0.13127   -7.7716e-16      0.58216
_SET1_   ENSG00000092148    14   31534318   31712010     48       9  204402       1.3005     0.033248   -6.6613e-16       1.3005
_SET1_   ENSG00000137841    15   40535377   40635136     63      19  204402       3.3095   6.1402e-05   -8.8818e-16       3.3095
_SET1_   ENSG00000069667    15   60745483   61556518    952     147  204402       5.1271   3.4795e-09   -8.8818e-16       5.1271
_SET1_   ENSG00000091640    17    4827521    4906167     46       8  204402      0.96469     0.068865   -7.7716e-16      0.96469
_SET1_   ENSG00000175906    17   41441327   41513505     26       4  204402       2.1876    0.0034092   -8.8818e-16       2.1876
_SET1_   ENSG00000169710    17   80001214   80091208     33       4  204402       1.1719     0.045095   -6.6613e-16       1.1719
_SET1_   ENSG00000172270    19     536297     618493     27       7  204402       -1.357       0.7904   -6.6613e-16       -1.357
_SET1_   ENSG00000105223    19   40819363   40921346     53      11  204402       2.9534   0.00024069   -8.8818e-16       2.9534
_SET1_   ENSG00000105329    19   41772492   41894816     43       5  204402      -0.3032      0.41924   -7.2164e-16      -0.3032
_SET1_   ENSG00000198900    20   39622458   39788127     67      11  204402       0.3779      0.18725   -7.2164e-16       0.3779
_SET1_   ENSG00000169184    22   28109265   28232486     98      30  204402     -0.86749      0.64085   -7.7716e-16     -0.86749
_SET1_   ENSG00000100368    22   37274670   37371491    128      21  204402      0.25527       0.2105   -7.2164e-16      0.25527
