# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE (set)
# _SET1_  NGENES = 72
# _SET1_  P-VALUE = 5.81753e-09
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000157978     1   25835071   25930377    132      18  195813      -1.0149      0.79662    8.5487e-14      -1.0149
_SET1_   ENSG00000169174     1   55470221   55565525    359      56  195813       3.6349   0.00011563    8.5709e-14       3.6349
_SET1_   ENSG00000132855     1   63028158   63106830     93       7  195813      0.49419      0.22975    8.5487e-14      0.49419
_SET1_   ENSG00000142875     1   84508745   84739181    421      35  195813      0.74614      0.18392    8.5487e-14      0.74614
_SET1_   ENSG00000158874     1  161157082  161228421    198      30  195813      -1.3616      0.89473    8.5487e-14      -1.3616
_SET1_   ENSG00000057252     1  179227925  179362815    614      28  195813      0.30129      0.30431    8.5487e-14      0.30129
_SET1_   ENSG00000084674     2   21189301   21301945    256      31  195813       4.5136   1.6125e-06    8.5265e-14       4.5136
_SET1_   ENSG00000143947     2   55424039   55497989    199      28  195813      -1.1561      0.85518    8.5487e-14      -1.1561
_SET1_   ENSG00000115677     2  242131679  242291476    495      48  195813       0.2984      0.34737    8.5487e-14       0.2984
_SET1_   ENSG00000187288     3    9873398    9956938    227      32  195813      0.10643      0.40632    8.5487e-14      0.10643
_SET1_   ENSG00000144959     3  172313039  172464008    512      58  195813    -0.013385      0.47194    8.5492e-14    -0.013385
_SET1_   ENSG00000161203     3  183857477  183936879    193      26  195813      0.48612      0.26719    8.5487e-14      0.48612
_SET1_   ENSG00000163631     4   74227831   74322129    239      19  195813     -0.15735      0.48741    8.5487e-14     -0.15735
_SET1_   ENSG00000138823     4  100449918  100580156    541      30  195813       3.2505   0.00038902    8.5709e-14       3.2505
_SET1_   ENSG00000152700     5  133901834  134019961    220      34  195813      0.53123      0.31864    8.5487e-14      0.53123
_SET1_   ENSG00000007944     6   16094356   16183479    203      29  195813      0.17591      0.38629    8.5487e-14      0.17591
_SET1_   ENSG00000198670     6  160917515  161122407    397      29  195813       6.6956   3.0729e-12    8.5265e-14       6.6956
_SET1_   ENSG00000175445     8   19724228   19859769    563      35  195813       4.8975   2.5456e-07    8.5265e-14       4.8975
_SET1_   ENSG00000168487     8   21987249   22104839    314      45  195813       2.6114    0.0037539    8.5709e-14       2.6114
_SET1_   ENSG00000182851     8  144260068  144334044    286      23  195813       2.5747     0.002724    8.5709e-14       2.5747
_SET1_   ENSG00000147852     9    2586834    2695053    496      70  195813      -1.0294      0.84143    8.5487e-14      -1.0294
_SET1_   ENSG00000122705     9   36155853   36339778    571      39  195813     -0.53482      0.65286    8.5487e-14     -0.53482
_SET1_   ENSG00000165059     9   71592469   71664039    207      45  195813      0.23442      0.38076    8.5487e-14      0.23442
_SET1_   ENSG00000099139     9   78470560   79012255   2072     210  195813       1.0322      0.19816    8.5487e-14       1.0322
_SET1_   ENSG00000165029     9  107508283  107725518    881     108  195813       1.8288     0.039292    8.5487e-14       1.8288
_SET1_   ENSG00000107611    10   16830963   17206830   1577      98  195813      0.62897       0.2648    8.5487e-14      0.62897
_SET1_   ENSG00000107798    10   90938326   91209314    889      62  195813       3.1243   0.00073833    8.5709e-14       3.1243
_SET1_   ENSG00000183020    11     889894    1047239    431      18  195813     -0.94665      0.75324    8.5487e-14     -0.94665
_SET1_   ENSG00000025434    11   47234851   47325396    213      18  195813      -2.1107      0.97333    8.5709e-14      -2.1107
_SET1_   ENSG00000110243    11  116625083  116698136    249      39  195813       2.7785    0.0021283    8.5709e-14       2.7785
