# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = BIOCARTA_AHSP_PATHWAY (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 6.39863e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000163867     1   35414523   35532569     38       2  204402      0.82403      0.15553   -7.7716e-16      0.82403
_SET1_   ENSG00000143819     1  225962794  226068260     73      17  204402       1.5105     0.020789   -6.6613e-16       1.5105
_SET1_   ENSG00000135535     6  109652717  109738762     61       6  204402      0.24112      0.22273   -7.2164e-16      0.24112
_SET1_   ENSG00000136826     9  110212133  110287763     32      11  204402      0.25432       0.2246   -7.2164e-16      0.25432
_SET1_   ENSG00000148229     9  116134515  116207952     46      16  204402      0.37894      0.18563   -7.2164e-16      0.37894
_SET1_   ENSG00000077943    10   15520948   15797124    325      32  204402      0.63985      0.11069   -7.7716e-16      0.63985
_SET1_   ENSG00000083535    13   73321197   73625591    203      16  204402      -1.8296      0.89453   -6.6613e-16      -1.8296
_SET1_   ENSG00000119599    14   73358040   73461411    107      17  204402       5.0824   9.8213e-09   -8.8818e-16       5.0824
_SET1_   ENSG00000137841    15   40535377   40635136     63      19  204402       3.3095   6.1402e-05   -8.8818e-16       3.3095
_SET1_   ENSG00000136478    17   62189587   62375661    132      13  204402      0.70781      0.10696   -7.7716e-16      0.70781
_SET1_   ENSG00000099942    22   21236714   21343037     57      10  204402      0.78012      0.09406   -7.7716e-16      0.78012
