# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = AUJLA_IL22_AND_IL17A_SIGNALING (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 4.76543e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000038382     5   14108811   14567235   1338      76  59957     -0.55802      0.39393    1.8319e-14     -0.55802
_SET1_   ENSG00000086200     5   61664799   61959409    656      33  59957      0.16245      0.18494    1.8291e-14      0.16245
_SET1_   ENSG00000127914     7   91535181   91774987    521      15  59957      0.39735      0.14389    1.8263e-14      0.39735
_SET1_   ENSG00000055130     7  148360006  148533128    486      49  59957       4.9195   3.5551e-09    1.8652e-14       4.9195
_SET1_   ENSG00000120899     8   27133999   27351903    731      50  59957       1.3777     0.012605    1.8208e-14       1.3777
_SET1_   ENSG00000119138     9   72964503   73064540    247      37  59957       0.6804     0.052467    1.8319e-14       0.6804
_SET1_   ENSG00000177990    12   63917693   64097719    834      33  59957     -0.70872      0.49055    1.8319e-14     -0.70872
_SET1_   ENSG00000111775    12  120840893  120913545    238      36  59957    -0.031896      0.19134    1.8291e-14    -0.031896
_SET1_   ENSG00000196628    18   52854562   53367018   1073      86  59957       3.6359    3.679e-06    1.8208e-14       3.6359
_SET1_   ENSG00000245848    19   33755840   33828470    279      49  59957       5.1801   5.2572e-10    1.8652e-14       5.1801
_SET1_   ENSG00000013275    19   40441912   40522348    296      24  59957      -1.8587       0.9194    1.8208e-14      -1.8587
