# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KYNG_ENVIRONMENTAL_STRESS_RESPONSE_DN (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 7.78618e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM        N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000158062     1   26572819   26679854    333      18  1570622     -0.22549      0.22921   -7.7716e-16     -0.22549
_SET1_   ENSG00000163221     1  153311184  153383125    215      17  1559609      -1.5566        0.774   -8.8818e-16      -1.5566
_SET1_   ENSG00000172403     4  119774996  120017402    722      61  1588416       2.2568    0.0001761   -8.8818e-16       2.2568
_SET1_   ENSG00000196782     4  140602907  141110338   1161     129  1556632       4.9824    2.406e-11   -8.8818e-16       4.9824
_SET1_   ENSG00000125347     5  131782301  131861490    214      20  1574806       0.6212     0.054558   -7.7716e-16       0.6212
_SET1_   ENSG00000006634     7   87470531   87573856    163      17  1576101       1.5695      0.01523   -8.8818e-16       1.5695
_SET1_   ENSG00000106617     7  151218197  151609210   1207     141  1566922     -0.38857      0.10715   -7.7716e-16     -0.38857
_SET1_   ENSG00000183020    11     889894    1047239    390      21  1576383     -0.67792      0.35277   -7.7716e-16     -0.67792
_SET1_   ENSG00000121691    11   34425472   34528609    460      24  1597774     -0.19853      0.18035   -7.7716e-16     -0.19853
_SET1_   ENSG00000133315    11   63731030   63968578    483      52  1568125       5.6094    8.782e-12   -8.8818e-16       5.6094
_SET1_   ENSG00000165474    13   20726609   20802037    266      35  1586601     -0.54237      0.33057   -7.7716e-16     -0.54237
_SET1_   ENSG00000137825    15   41750591   41830747    153      24  1581753        1.361    0.0091318   -8.8818e-16        1.361
_SET1_   ENSG00000141258    17    2205792    2319352    250      40  1558659       1.4531    0.0075924   -8.8818e-16       1.4531
_SET1_   ENSG00000171634    17   65786640   66015494    367      15  1550810       4.9785   1.9145e-09   -8.8818e-16       4.9785
_SET1_   ENSG00000125834    20    2047257    2192684    470      39  1572851       0.2381     0.088312   -7.7716e-16       0.2381
