# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2 (set)
# _SET1_  NGENES = 58
# _SET1_  P-VALUE = 7.74957e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000137975     1   86854769   86957241    132      19  226284       1.4318     0.063754    1.1613e-13       1.4318
_SET1_   ENSG00000134259     1  115793539  115915857    196      39  219079      -1.0666      0.91185    1.1613e-13      -1.0666
_SET1_   ENSG00000135862     1  182957595  183149727    241       9  222516       2.4944    0.0020231    1.1591e-13       2.4944
_SET1_   ENSG00000116750     1  192946380  193064237     34       6  230907      0.72448      0.15162    1.1613e-13      0.72448
_SET1_   ENSG00000196352     1  207459853  207569311     63       5  224818         0.28      0.30502    1.1613e-13         0.28
_SET1_   ENSG00000077585     1  236270832  236420165    176      25  210003    -0.034226      0.59723    1.1612e-13    -0.034226
_SET1_   ENSG00000116117     2  205375516  206519886   1005      90  225240       2.3757    0.0018736    1.1591e-13       2.3757
_SET1_   ENSG00000163705     3   10088001   10184915     40       3  219287     -0.59564       0.6946    1.1613e-13     -0.59564
_SET1_   ENSG00000187091     3   38013987   38106253     59       9  226602     -0.70988      0.70611    1.1613e-13     -0.70988
_SET1_   ENSG00000136603     3  170040466  170149623     52       5  227123      0.96407      0.11653    1.1613e-13      0.96407
_SET1_   ENSG00000151834     4   46215444   46512247    185      10  221727    -0.077304      0.42996    1.1612e-13    -0.077304
_SET1_   ENSG00000118785     4   88861819   88939562     84      14  229512       1.7646     0.025432    1.1613e-13       1.7646
_SET1_   ENSG00000145365     4  113160698  113242059     57       8  208811        -1.05      0.87024    1.1613e-13        -1.05
_SET1_   ENSG00000153922     5   98155908   98297240     84       8  231082       2.7315    0.0012836    1.1591e-13       2.7315
_SET1_   ENSG00000158402     5  137585954  137709044     70      10  234335       2.9997   0.00044695    1.1591e-13       2.9997
_SET1_   ENSG00000112715     6   43702921   43789224     76      24  219525          3.1    0.0016719    1.1591e-13          3.1
_SET1_   ENSG00000118689     6  108846038  109040977    163      17  227870       3.4256   0.00015003    1.1591e-13       3.4256
_SET1_   ENSG00000112539     6  165658153  165758096     98      16  223581      0.13838       0.4227     1.161e-13      0.13838
_SET1_   ENSG00000001630     7   91706465   91807266     32       2  228383      0.76696      0.13235    1.1613e-13      0.76696
_SET1_   ENSG00000006652     7  112028023  112156072    157      26  225750     -0.37352      0.64646    1.1613e-13     -0.37352
_SET1_   ENSG00000105989     7  116881685  116998343    116      16  230979      0.23434      0.32783     1.161e-13      0.23434
_SET1_   ENSG00000009335     7  156896607  157097066    144      14  227507        2.989    0.0007104    1.1591e-13        2.989
_SET1_   ENSG00000137076     9   35661945   35767392     55      12  233556       1.2202     0.067491    1.1613e-13       1.2202
_SET1_   ENSG00000107331     9  139866686  139958367     39       5  218586      -1.0191      0.81718    1.1613e-13      -1.0191
_SET1_   ENSG00000120586    10   18063352   18235091     16       3  224949     0.098109      0.33825    1.1612e-13     0.098109
_SET1_   ENSG00000174775    11     497242     572287     31       9  214672       2.4279    0.0083668    1.1591e-13       2.4279
_SET1_   ENSG00000176697    11   27641440   27778605     79      11  282631       6.0589   1.6875e-14    1.1635e-13       6.0589
_SET1_   ENSG00000173153    11   64038044   64119215     23       5  223396       2.0952     0.010198    1.1591e-13       2.0952
_SET1_   ENSG00000174080    11   66295934   66371312     36       5  221315     -0.10061      0.46866    1.1612e-13     -0.10061
_SET1_   ENSG00000110719    11   67771483   67853362     31       7  227109       -1.838      0.94421    1.1613e-13       -1.838
_SET1_   ENSG00000110092    11   69420855   69504242     46       9  206333       4.5093   5.9758e-06    1.1635e-13       4.5093
_SET1_   ENSG00000111206    12    2931847    3021206     65       8  227555     -0.56239      0.63327    1.1613e-13     -0.56239
_SET1_   ENSG00000133703    12   25322723   25438870    117      16  227653       1.6141     0.038639    1.1613e-13       1.6141
_SET1_   ENSG00000135472    12   50225679   50333000     96      21  245986       6.7451   3.9946e-13    1.1635e-13       6.7451
_SET1_   ENSG00000184271    12   51545719   51646477     48      11  222416      0.94551       0.1529    1.1613e-13      0.94551
_SET1_   ENSG00000167768    12   53033520   53109191    119      15  224567     -0.58905      0.68583    1.1613e-13     -0.58905
_SET1_   ENSG00000084112    12  109141466  109286366     67       9  232081     0.024247      0.37381    1.1611e-13     0.024247
_SET1_   ENSG00000089022    12  112244782  112369343     56       4  226536      0.26554      0.32915    1.1613e-13      0.26554
_SET1_   ENSG00000092010    14   24570367   24643176     35       8  206462      -1.5859      0.95561    1.1613e-13      -1.5859
_SET1_   ENSG00000100567    14   58676549   58773730     32       4  229483     0.043886      0.35625    1.1612e-13     0.043886
_SET1_   ENSG00000165861    14   73401159   73528920    112      14  229431       1.5097      0.04409    1.1613e-13       1.5097
_SET1_   ENSG00000066427    14   92489896   92607965    122      11  229586        2.298    0.0052963    1.1591e-13        2.298
_SET1_   ENSG00000197102    14  102395865  102552129     97      13  228235      0.94784      0.14934    1.1613e-13      0.94784
_SET1_   ENSG00000198901    15   91474270   91573859     97      14  276670      -2.1131      0.79453    1.1591e-13      -2.1131
_SET1_   ENSG00000166501    16   23812322   24266932    435      68  224217       1.1424      0.17762    1.1613e-13       1.1424
