# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = PID_BETA_CATENIN_NUC_PATHWAY (set)
# _SET1_  NGENES = 68
# _SET1_  P-VALUE = 3.41692e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000020633     1   25191002   25326612    451      61  59957       3.0792   2.4335e-05    1.8208e-14       3.0792
_SET1_   ENSG00000117751     1   28122289   28213187    167      27  59957     -0.14437      0.27197    1.8291e-14     -0.14437
_SET1_   ENSG00000184371     1  110417864  110508614    295      57  59957       1.1809     0.014451    1.8208e-14       1.1809
_SET1_   ENSG00000143369     1  150445538  150521265    211      22  59957       2.0789     0.001651    1.8208e-14       2.0789
_SET1_   ENSG00000143390     1  151278116  151354833    166      34  59957       2.3053   0.00066573    1.8208e-14       2.3053
_SET1_   ENSG00000254726     1  156006804  156086789    136      35  59957       2.3158    0.0006345    1.8208e-14       2.3158
_SET1_   ENSG00000058085     1  183120373  183249035    454      33  59957     -0.45994      0.39001    1.8263e-14     -0.45994
_SET1_   ENSG00000118200     1  200673686  200864832    619      37  59957       5.0749   3.3251e-09    1.8652e-14       5.0749
_SET1_   ENSG00000159348     1  202895997  202971408    222      39  59957      -1.9871       0.8637    1.8208e-14      -1.9871
_SET1_   ENSG00000134308     2    9689101    9806143    370      56  59957       2.3139   0.00054331    1.8208e-14       2.3139
_SET1_   ENSG00000196208     2   11639242   11817914    643      90  59957       1.6763    0.0042716    1.8208e-14       1.6763
_SET1_   ENSG00000021574     2   32253680   32417706    502      35  59957       1.6287    0.0082456    1.8208e-14       1.6287
_SET1_   ENSG00000150938     2   36548069   36813278    903      85  59957      -1.8822      0.82496    1.8208e-14      -1.8822
_SET1_   ENSG00000115325     2   74741153   74819681    106      29  59957       0.3132       0.1589    1.8263e-14       0.3132
_SET1_   ENSG00000163161     2  127979866  128086752    286      28  59957       1.7558    0.0053326    1.8208e-14       1.7558
_SET1_   ENSG00000115919     2  143600067  143834890    724      53  59957    -0.030804      0.22796    1.8287e-14    -0.030804
_SET1_   ENSG00000128708     2  172743958  172883599    390      33  59957     -0.92947      0.58076    1.8319e-14     -0.92947
_SET1_   ENSG00000003400     2  202012604  202129129    322      29  59957      0.22672      0.15728    1.8291e-14      0.22672
_SET1_   ENSG00000179921     2  219089219  219163582    201      19  59957       4.5283   4.3089e-08    1.8652e-14       4.5283
_SET1_   ENSG00000163686     3   58188233   58316420    519      26  59957       1.1746     0.026712    1.8208e-14       1.1746
_SET1_   ENSG00000175161     3   84973132   86158579   3819      83  59957       2.9636   6.7943e-05    1.8208e-14       2.9636
_SET1_   ENSG00000109180     4   48772229   48898834    221      32  59957       0.5598     0.075217    1.8319e-14       0.5598
_SET1_   ENSG00000242110     5   33951283   34043220    259      31  59957      0.15865      0.15544    1.8291e-14      0.15865
_SET1_   ENSG00000145675     5   67476548   67632649    480      72  59957        1.568    0.0066445    1.8208e-14        1.568
_SET1_   ENSG00000113356     5   89732565   89845370    227      40  59957      -1.2556       0.6178    1.8208e-14      -1.2556
_SET1_   ENSG00000072682     5  131492531  131666008    580      43  59957       8.2787   5.4173e-20    1.7764e-14       8.2787
_SET1_   ENSG00000112149     6   14082872   14172149    341      48  59957     -0.57875      0.36556    1.8319e-14     -0.57875
_SET1_   ENSG00000135596     6  109730265  109822171    271      25  59957      0.32811      0.13122    1.8263e-14      0.32811
_SET1_   ENSG00000049618     6  157064063  157566913   1354     114  59957     -0.08931      0.21911    1.8291e-14     -0.08931
_SET1_   ENSG00000164742     7   45578739   45797715    739      70  59957      -2.3036      0.92978    1.8208e-14      -2.3036
_SET1_   ENSG00000105793     7   89929537   90055769    420      32  59957      -2.1807      0.92083    1.8208e-14      -2.1807
_SET1_   ENSG00000104375     8   99378631   99990055   1088      73  59957      -0.9221      0.55764    1.8319e-14      -0.9221
_SET1_   ENSG00000155096     8  103803585  103941092    477      33  59957      0.30384      0.14277    1.8263e-14      0.30384
_SET1_   ENSG00000155876     9   19014372   19086019    322      23  59957      0.44521      0.10871    1.8263e-14      0.44521
_SET1_   ENSG00000148053     9   87248466   87673505   1366      97  59957      0.25954      0.13716    1.8263e-14      0.25954
_SET1_   ENSG00000067057    10    3073525    3214904    980      94  59957      -1.7531      0.78647    1.8208e-14      -1.7531
_SET1_   ENSG00000136738    10   17651124   17792913    586      34  59957     -0.54545      0.44457    1.8319e-14     -0.54545
_SET1_   ENSG00000187714    10   50783347   50855765    233      64  59957     -0.41532       0.3014    1.8263e-14     -0.41532
_SET1_   ENSG00000122862    10   70812862   70899567    282      24  59957      -1.2396      0.66093    1.8208e-14      -1.2396
_SET1_   ENSG00000107798    10   90938326   91209314   1014      73  59957       1.0426     0.032441    1.8208e-14       1.0426
_SET1_   ENSG00000148700    10  111721126  111930323    532      32  59957     0.094848      0.25349    1.8291e-14     0.094848
_SET1_   ENSG00000133789    11    9650624    9809538    636      37  59957      -1.3671      0.72679    1.8208e-14      -1.3671
_SET1_   ENSG00000110719    11   67771483   67853362    208      40  59957     -0.80218      0.45757    1.8319e-14     -0.80218
_SET1_   ENSG00000175538    11   74130886   74213774    306      37  59957     -0.55278      0.35947    1.8319e-14     -0.55278
_SET1_   ENSG00000197905    12    3033496    3184839    639      61  59957     -0.55339      0.38571    1.8319e-14     -0.55339
_SET1_   ENSG00000110848    12    9870082    9948497    352      24  59957       3.3736   1.1357e-05    1.8208e-14       3.3736
_SET1_   ENSG00000111348    12   15059951   15149662    349      32  59957     -0.21145      0.24822    1.8291e-14     -0.21145
_SET1_   ENSG00000111057    12   53307655   53381685    225      43  59957      0.38921     0.093436    1.8263e-14      0.38921
_SET1_   ENSG00000197728    12   56400637   56473116    140      21  59957      -1.1662      0.67446    1.8208e-14      -1.1662
_SET1_   ENSG00000139329    12   91461406   91540608    289      27  59957    -0.032705      0.28056    1.8291e-14    -0.032705
_SET1_   ENSG00000111331    12  113341157  113446054    375      23  59957     -0.52511      0.38093    1.8319e-14     -0.52511
_SET1_   ENSG00000086598    12  124034078  124118116    323      21  59957      0.86249     0.061855    1.8319e-14      0.86249
_SET1_   ENSG00000132341    12  131321424  131397223    325      22  59957      0.67416      0.07896    1.8319e-14      0.67416
_SET1_   ENSG00000185650    14   69219377   69298190    277      27  59957       5.8371   1.2387e-11    1.8652e-14       5.8371
_SET1_   ENSG00000166128    15   63446668   63594981    433      41  59957     -0.23325      0.29577    1.8291e-14     -0.23325
_SET1_   ENSG00000069764    16   14731405   14823526     72      21  59957      -0.4439       0.3425    1.8263e-14      -0.4439
_SET1_   ENSG00000103546    16   55654516   55775104    510      55  59957     -0.26187      0.27846    1.8263e-14     -0.26187
