# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = TCGA_GLIOBLASTOMA_COPY_NUMBER_DN (set)
# _SET1_  NGENES = 28
# _SET1_  P-VALUE = 2.58411e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000162426     1    8342886    8439227    331      43  141584      -2.5399      0.98602   -2.6645e-15      -2.5399
_SET1_   ENSG00000142599     1    8377457    8912702   1245      53  140218      0.47672      0.19208   -2.8866e-15      0.47672
_SET1_   ENSG00000074800     1    8886061    8974308    290      37  140588      -1.0026      0.74586   -2.8866e-15      -1.0026
_SET1_   ENSG00000049239     1    9259834    9366396    541      60  145661       -1.558      0.88954   -2.8866e-15       -1.558
_SET1_   ENSG00000171621     1    9317939    9464591    827     104  141759     -0.33123      0.49628   -2.8866e-15     -0.33123
_SET1_   ENSG00000185104     1   50870150   51460935   1265      48  141644       2.8443   0.00070651   -2.6645e-15       2.8443
_SET1_   ENSG00000123080     1   51391417   51475305    177      29  142561        2.507    0.0023789   -2.6645e-15        2.507
_SET1_   ENSG00000112531     6  163800032  164034628    737      55  143741       1.2659     0.053919   -2.8866e-15       1.2659
_SET1_   ENSG00000147889     9   21932751   22030300    290      46  128476       4.7174   2.1036e-07   -2.6645e-15       4.7174
_SET1_   ENSG00000147883     9   21967902   22044362    243      38  127005       5.3235    7.107e-09   -2.6645e-15       5.3235
_SET1_   ENSG00000138138    10   89476269   89636100    486      49  144217      -0.7432      0.65848   -2.8866e-15      -0.7432
_SET1_   ENSG00000171862    10   89587870   89766687    452      59  142281      0.72551      0.15829   -2.8866e-15      0.72551
_SET1_   ENSG00000139687    13   48842887   49091122    750      39  139133     -0.24853      0.53485   -2.8866e-15     -0.24853
_SET1_   ENSG00000136161    13   49028095   49142369    294      33  140264     -0.58655      0.67874   -2.8866e-15     -0.58655
_SET1_   ENSG00000102531    13   49515048   49818915    785      47  136967       1.6101      0.02612   -2.8866e-15       1.6101
_SET1_   ENSG00000102543    13   49787047   49902618    344      32  139464      0.71208      0.14852   -2.8866e-15      0.71208
_SET1_   ENSG00000102547    13   49847786   50053262    787      65  143945       1.4549     0.035392   -2.8866e-15       1.4549
_SET1_   ENSG00000136169    13   49983429   50104138    472      40  147367       2.3651    0.0034892   -2.6645e-15       2.3651
_SET1_   ENSG00000136147    13   50034746   50138123    509      28  148932       2.4194    0.0030367   -2.6645e-15       2.4194
_SET1_   ENSG00000136144    13   50071082   50194719    669      28  150029       1.5986     0.027227   -2.8866e-15       1.5986
_SET1_   ENSG00000123179    13   50199859   50300611    426      48  148300    -0.081394      0.40838   -2.8866e-15    -0.081394
_SET1_   ENSG00000102753    13   50238447   50402057    744      50  147065      -0.2922      0.48508   -2.8866e-15      -0.2922
_SET1_   ENSG00000123178    13   50451842   50545626    307      33  144581       1.1928     0.066613   -2.8866e-15       1.1928
_SET1_   ENSG00000204977    13   50535024   50629617    233      32  143507       1.0734     0.084214   -2.8866e-15       1.0734
_SET1_   ENSG00000198553    13   50554390   50630058    192      30  143158       1.0926      0.08045   -2.8866e-15       1.0926
_SET1_   ENSG00000196712    17   29386945   29744134    717      26  136779       1.8271     0.014579   -2.8866e-15       1.8271
_SET1_   ENSG00000126861    17   29564031   29659557    177      18  139527       2.0221    0.0090878   -2.6645e-15       2.0221
_SET1_   ENSG00000185862    17   29595784   29676130    144      16  141015       2.3223    0.0038754   -2.6645e-15       2.3223

# _SET2_  VARIABLE = BIOCARTA_CELLCYCLE_PATHWAY (set)
# _SET2_  NGENES = 22
# _SET2_  P-VALUE = 3.3993e-07
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000123080     1   51391417   51475305    177      29  142561        2.507    0.0023789   -2.6645e-15        2.507
_SET2_   ENSG00000164045     3   48163636   48264892    217      31  139181        1.471     0.035689   -2.8866e-15        1.471
_SET2_   ENSG00000134057     5   68427837   68509072    257      20  141459       1.5929      0.02662   -2.8866e-15       1.5929
_SET2_   ENSG00000134058     5   68495668   68608250    403      27  142627      0.88248      0.11043   -2.8866e-15      0.88248
_SET2_   ENSG00000134480     5   86652311   86743836    182      40  131092     -0.23295      0.48913   -2.8866e-15     -0.23295
_SET2_   ENSG00000124762     6   36609305   36690116    394      45  146825      0.47322      0.21307   -2.8866e-15      0.47322
_SET2_   ENSG00000112576     6   41867671   42053095    710      93  145316       2.0861    0.0079488   -2.6645e-15       2.0861
_SET2_   ENSG00000105810     7   92199235   92500908    620      74  139108      0.62802      0.18573   -2.8866e-15      0.62802
_SET2_   ENSG00000147889     9   21932751   22030300    290      46  128476       4.7174   2.1036e-07   -2.6645e-15       4.7174
_SET2_   ENSG00000147883     9   21967902   22044362    243      38  127005       5.3235    7.107e-09   -2.6645e-15       5.3235
_SET2_   ENSG00000170312    10   62503089   62589610    374      42  148430      -0.5941      0.60685   -2.8866e-15      -0.5941
_SET2_   ENSG00000110092    11   69420855   69504242    291      40  141290        3.149   0.00025192   -2.6645e-15        3.149
_SET2_   ENSG00000118971    12    4347938    4449516    355      88  139973       3.7497   2.2606e-05   -2.6645e-15       3.7497
_SET2_   ENSG00000111276    12   12832992   12910305    263      47  136713     -0.31152      0.48584   -2.8866e-15     -0.31152
_SET2_   ENSG00000123374    12   56325553   56401568    157      42  129904       1.5458     0.030393   -2.8866e-15       1.5458
_SET2_   ENSG00000135446    12   58106510   58184796    156      30  139190     0.051183      0.34624   -2.8796e-15     0.051183
_SET2_   ENSG00000133101    13   36970967   37052019    292      47  143997       1.5128     0.032781   -2.8866e-15       1.5128
_SET2_   ENSG00000139687    13   48842887   49091122    750      39  139133     -0.24853      0.53485   -2.8866e-15     -0.24853
_SET2_   ENSG00000198176    13  114204013  114330785    415      33  125802       1.7377     0.019262   -2.8866e-15       1.7377
_SET2_   ENSG00000129355    19   10642138   10714735    324      28  146891     -0.17655      0.44106   -2.8866e-15     -0.17655
_SET2_   ENSG00000105173    19   30267805   30350215    311      37  141193     0.022033      0.36078   -2.8796e-15     0.022033
_SET2_   ENSG00000101412    20   32228489   32309210    174      36  138851       -0.164      0.42943   -2.8866e-15       -0.164
