# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = BIOCARTA_CTLA4_PATHWAY (set)
# _SET1_  NGENES = 20
# _SET1_  P-VALUE = 4.32049e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000009709     1   18922500   19110360    188      40  204402     -0.75524      0.60478   -7.7716e-16     -0.75524
_SET1_   ENSG00000197323     1  114900399  115088781     59       8  204402      0.48703      0.15537   -7.2164e-16      0.48703
_SET1_   ENSG00000117281     1  145660798  145750614     29       5  204402       1.2281     0.039038   -6.6613e-16       1.2281
_SET1_   ENSG00000163209     1  152939223  153011332     94       3  204402    -0.074169      0.33308   -7.3552e-16    -0.074169
_SET1_   ENSG00000179639     1  159224504  159313014     60      10  204402       7.2584   4.1078e-15   -8.8818e-16       7.2584
_SET1_   ENSG00000162711     1  247544458  247647410    147      23  204402       7.2095   4.9404e-15   -8.8818e-16       7.2095
_SET1_   ENSG00000115594     2  102646004  102831334    282      27  204402       6.4023   1.2831e-12   -8.8818e-16       6.4023
_SET1_   ENSG00000144827     3  111662857  111747210    160      23  204402      -0.5813      0.51391   -7.7716e-16      -0.5813
_SET1_   ENSG00000072858     3  113216143  113383425    141      21  204402      0.18378      0.23738   -7.2164e-16      0.18378
_SET1_   ENSG00000204632     6   29759744   29833902    323      23  204402       1.6888     0.010718   -6.6613e-16       1.6888
_SET1_   ENSG00000137073     9   33886691   34083947    117      11  204402     -0.38153      0.43715   -7.2164e-16     -0.38153
_SET1_   ENSG00000137054     9   37450932   37538694    103       9  204402     -0.18665      0.37581   -7.2164e-16     -0.18665
_SET1_   ENSG00000165124     9  113092531  113377160    412      48  204402      0.31457       0.1848   -7.2164e-16      0.31457
_SET1_   ENSG00000111331    12  113341157  113446054    140       9  204402     -0.60605      0.51851   -7.7716e-16     -0.60605
_SET1_   ENSG00000053770    14   57700627   57791797     38       4  204402     -0.84032      0.69821   -7.7716e-16     -0.84032
_SET1_   ENSG00000104067    15   29956571   30296068    252      34  204402    -0.075324        0.326   -7.3552e-16    -0.075324
_SET1_   ENSG00000185905    16   29718784   29792327      1       1  204402       1.0772     0.057952   -6.6613e-16       1.0772
_SET1_   ENSG00000176692    16   86565857   86637539     97      15  204402      0.84492     0.082808   -7.7716e-16      0.84492
_SET1_   ENSG00000213762    19   58090601   58169724     86       7  204402        3.343   8.0606e-05   -8.8818e-16        3.343
_SET1_   ENSG00000100985    20   44602547   44680200     50      10  204402       3.5846    2.112e-05   -8.8818e-16       3.5846

# _SET2_  VARIABLE = KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_VGCC_CA2_APOPTOTIC_PATHWAY_N01004 (set)
# _SET2_  NGENES = 11
# _SET2_  P-VALUE = 3.5041e-06
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000132906     1   15782327   15888029    105       9  204402        -0.73      0.57187   -7.7716e-16        -0.73
_SET2_   ENSG00000172292     2  169277372  169666644    329      44  204402    -0.062865      0.32493   -7.3552e-16    -0.062865
_SET2_   ENSG00000152049     2  223881532  224098117    281      25  204402       0.6886      0.10224   -7.7716e-16       0.6886
_SET2_   ENSG00000138640     4   89612106   90067549    383      35  204402    -0.026595      0.27542   -7.2858e-16    -0.026595
_SET2_   ENSG00000164932     8  104348743  104430225    122      12  204402      -1.1937      0.73996   -6.6613e-16      -1.1937
_SET2_   ENSG00000119318     9  110010418  110129475    107      13  204402       2.8783   0.00033635   -8.8818e-16       2.8783
_SET2_   ENSG00000137841    15   40535377   40635136     63      19  204402       3.3095   6.1402e-05   -8.8818e-16       3.3095
_SET2_   ENSG00000132386    17    1630253    1715868     71      14  204402       2.1391    0.0037248   -8.8818e-16       2.1391
_SET2_   ENSG00000083457    17    3582922    3739537     94      21  204402     -0.31978      0.41776   -7.2164e-16     -0.31978
_SET2_   ENSG00000166579    17    8281449    8428729     85       9  204402       -0.703      0.56142   -7.7716e-16       -0.703
_SET2_   ENSG00000104918    19    7698930    7770334     36      12  204402      0.32324       0.1914   -7.2164e-16      0.32324
