# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING (set)
# _SET1_  NGENES = 24
# _SET1_  P-VALUE = 2.12982e-08
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000020633     1   25191002   25326612    144      24  204402       1.8476     0.008242   -6.6613e-16       1.8476
_SET1_   ENSG00000184588     1   66223197   66875259    592      51  204402       6.4041   7.0804e-13   -8.8818e-16       6.4041
_SET1_   ENSG00000136653     1  206645879  206797616    139      27  204402        0.574      0.13289   -7.7716e-16        0.574
_SET1_   ENSG00000163581     3  170679137  170779539     68       5  204402       3.6453   2.0973e-05   -8.8818e-16       3.6453
_SET1_   ENSG00000114503     3  196627273  196704468     37       9  204402      -1.6126      0.85775   -6.6613e-16      -1.6126
_SET1_   ENSG00000154274     4   37420563   37660117    257      41  204402      0.68524      0.10924   -7.7716e-16      0.68524
_SET1_   ENSG00000164405     5  132167252  132238723     50       6  204402       3.0639   0.00016915   -8.8818e-16       3.0639
_SET1_   ENSG00000015520     7   44517134   44615914     71       9  204402      -1.8601      0.90965   -6.6613e-16      -1.8601
_SET1_   ENSG00000165280     9   35021061   35108246     46       7  204402       1.5175     0.020916   -6.6613e-16       1.5175
_SET1_   ENSG00000130957     9   97286002   97391075    123      10  204402     -0.40619      0.43952   -7.2164e-16     -0.40619
_SET1_   ENSG00000119950    10  111932363  112082123     83      12  204402      0.19837      0.23527   -7.2164e-16      0.19837
_SET1_   ENSG00000002330    11   64002302   64087176     25       6  204402     -0.73322      0.58437   -7.7716e-16     -0.73322
_SET1_   ENSG00000110092    11   69420855   69504242     38       7  204402      0.42799      0.16842   -7.2164e-16      0.42799
_SET1_   ENSG00000135482    12   56476943   56551278     16       4  204402       1.5414      0.02054   -6.6613e-16       1.5414
_SET1_   ENSG00000135100    12  121381346  121475315     75      13  204402       7.1499   7.6052e-15   -8.8818e-16       7.1499
_SET1_   ENSG00000100450    14   25040686   25113905     59      10  204402      0.64524      0.11876   -7.7716e-16      0.64524
_SET1_   ENSG00000185650    14   69219377   69298190     64      10  204402       2.5419    0.0010323   -8.8818e-16       2.5419
_SET1_   ENSG00000090060    14   96932770   97068448     40       6  204402         2.93   0.00028734   -8.8818e-16         2.93
_SET1_   ENSG00000134508    18   20679528   20875431     94      19  204402      0.32171      0.20367   -7.2164e-16      0.32171
_SET1_   ENSG00000196628    18   52854562   53367018    258      28  204402    -0.052501      0.29856   -7.2858e-16    -0.052501
_SET1_   ENSG00000187244    19   45277328   45359673     20       7  204402       7.2285   4.4409e-15   -8.8818e-16       7.2285
_SET1_   ENSG00000104812    19   49436382   49531567     42      11  204402       1.8882    0.0076218   -6.6613e-16       1.8882
