# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = WP_6Q16_COPY_NUMBER_VARIATION (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 8.26912e-08
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000116678     1   65851248   66142242    299      20  228248      0.73435      0.12681    1.1613e-13      0.73435
_SET1_   ENSG00000143437     1  150747181  150884244     51       8  204768       2.0988     0.025524    1.1635e-13       2.0988
_SET1_   ENSG00000115138     2   25348722   25426772     44       6  234295       3.6029   3.5962e-05    1.1635e-13       3.6029
_SET1_   ENSG00000157017     3   10292359   10369631     79      12  232721       1.3225     0.055601    1.1613e-13       1.3225
_SET1_   ENSG00000121853     3  172127923  172201246     69      10  229129      0.33651       0.2911    1.1613e-13      0.33651
_SET1_   ENSG00000112246     6  100797891  100947805    175      22  215234        2.543    0.0071513    1.1635e-13        2.543
_SET1_   ENSG00000122585     7   24288782   24366484    145      19  230414       2.1729    0.0093625    1.1635e-13       2.1729
_SET1_   ENSG00000174697     7  127846337  127932681     76      14  217621      0.98626      0.17026    1.1613e-13      0.98626
_SET1_   ENSG00000148053     9   87248466   87673505    479      52  227846        3.134   0.00043493    1.1635e-13        3.134
_SET1_   ENSG00000254647    11    2146009    2217571     46      10  202618       2.6308    0.0070865    1.1635e-13       2.6308
_SET1_   ENSG00000176697    11   27641440   27778605     79      11  282631       6.0589   1.6875e-14    1.1635e-13       6.0589
_SET1_   ENSG00000159723    16   67481474   67552716     14       3  223398       1.8872     0.026485    1.1613e-13       1.8872
_SET1_   ENSG00000166603    18   58003564   58075001     71      14  272586       6.3245   5.4069e-14    1.1635e-13       6.3245
_SET1_   ENSG00000171105    19    7077266    7329045    181      47  210310     -0.56974      0.87176    1.1613e-13     -0.56974
