# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = DAVIES_MULTIPLE_MYELOMA_VS_MGUS_UP (set)
# _SET1_  NGENES = 12
# _SET1_  P-VALUE = 4.25864e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000162704     1  183557401  183639892    376      17  59957       2.0629    0.0040661    1.8208e-14       2.0629
_SET1_   ENSG00000116918     1  231629399  231737270    282      33  59957     -0.21965      0.27751    1.8291e-14     -0.21965
_SET1_   ENSG00000075426     2   28580315   28675179    305      50  59957       6.4718   4.9033e-14    1.8652e-14       6.4718
_SET1_   ENSG00000182568     3   18351879   18522080    456      66  59957       2.0833    0.0013159    1.8208e-14       2.0833
_SET1_   ENSG00000120318     5  140997968  141096788    393      72  59957      0.42708      0.08939    1.8263e-14      0.42708
_SET1_   ENSG00000147601     8   73886099   73995357    314      27  59957      0.99919     0.034354    1.8319e-14      0.99919
_SET1_   ENSG00000119508     9  102549137  102664173    203      32  59957      0.43193     0.089706    1.8263e-14      0.43193
_SET1_   ENSG00000150165    10   47122983   47209093      7       3  59957     -0.26127      0.25495    1.8263e-14     -0.26127
_SET1_   ENSG00000085733    11   70209510   70317690    241      33  59957      0.52762      0.08404    1.8319e-14      0.52762
_SET1_   ENSG00000178105    11  108500752  108846657    906      50  59957       0.6015     0.085628    1.8319e-14       0.6015
_SET1_   ENSG00000134954    11  128293656  128492453    594      87  59957       2.5047   0.00026311    1.8208e-14       2.5047
_SET1_   ENSG00000166949    15   67321101   67522533    622      80  59957       6.1781   3.4756e-13    1.8652e-14       6.1781
