# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000188290    1     899342     970552      1       1   92745     -0.71429    1.1613e-13     -0.71429
ENSG00000187608    1     913803     984920      1       1   92745     -0.71429    1.1613e-13     -0.71429
ENSG00000188157    1     920503    1026496     16       3  188514      0.75554    1.1613e-13      0.75554
ENSG00000237330    1     971346    1044687     21       5  191880       1.2097    1.1613e-13       1.2097
ENSG00000131591    1     982198    1086741     40       9  181519       1.5282    1.1613e-13       1.5282
ENSG00000162571    1    1074264    1168315     32      11  192444      -1.4678    1.1613e-13      -1.4678
ENSG00000186891    1    1103888    1177071     26       8  191037      -1.1693    1.1613e-13      -1.1693
ENSG00000186827    1    1111706    1184518     25       8  197955      -1.1841    1.1613e-13      -1.1841
ENSG00000078808    1    1117288    1202411     30       9  202499      -1.3678    1.1613e-13      -1.3678
ENSG00000176022    1    1132629    1205421     24       7  202005      -1.7514    1.1613e-13      -1.7514
ENSG00000160087    1    1154289    1244265     26       8  191428      -1.4392    1.1613e-13      -1.4392
ENSG00000162572    1    1180816    1262409     20       6  189450      -1.4485    1.1613e-13      -1.4485
ENSG00000131584    1    1192756    1279989     15       5  185543        -1.22    1.1613e-13        -1.22
ENSG00000169972    1    1208947    1282057      9       3  166431     -0.93861    1.1613e-13     -0.93861
ENSG00000169962    1    1231694    1305686      6       2  156616      -1.1852    1.1613e-13      -1.1852
ENSG00000107404    1    1235656    1319730      7       2  159046      -1.3307    1.1613e-13      -1.3307
ENSG00000162576    1    1253069    1332157      3       2  172504       -1.503    1.1613e-13       -1.503
ENSG00000175756    1    1274110    1345875      3       2  172504       -1.503    1.1613e-13       -1.503
ENSG00000221978    1    1286091    1369708      3       2  172504       -1.503    1.1613e-13       -1.503
ENSG00000242485    1    1302288    1377693      3       2  172504       -1.503    1.1613e-13       -1.503
ENSG00000235098    1    1318800    1392149      1       1  159054      -1.5394    1.1613e-13      -1.5394
ENSG00000205116    1    1326508    1398167      1       1  159054      -1.5394    1.1613e-13      -1.5394
ENSG00000179403    1    1335241    1413262      1       1  159054      -1.5394    1.1613e-13      -1.5394
ENSG00000215915    1    1350069    1440538      2       1  175634     -0.36133    1.1613e-13     -0.36133
ENSG00000160072    1    1372143    1468228      8       2  179711     -0.45217    1.1613e-13     -0.45217
ENSG00000197785    1    1412531    1505067     23       4  208583      -1.7442    1.1613e-13      -1.7442
ENSG00000160075    1    1442053    1545249     27       4  205329      -1.9013    1.1613e-13      -1.9013
ENSG00000189339    1    1557939    1659167      1       1   50061     -0.26721    1.1613e-13     -0.26721
ENSG00000008128    1    1599169    1690766      1       1   50061     -0.26721    1.1613e-13     -0.26721
ENSG00000008130    1    1647671    1746896     12       3  212648       3.9442    1.1635e-13       3.9442
ENSG00000078369    1    1681729    1857495     51       7  206126       4.2389    1.1635e-13       4.2389
ENSG00000169885    1    1811266    1883735     20       4  223502       3.6189    1.1635e-13       3.6189
ENSG00000178821    1    1814029    1885712     18       3  222107       3.4974    1.1635e-13       3.4974
ENSG00000187730    1    1915780    1997192      3       2  100250      -2.3259    1.1635e-13      -2.3259
ENSG00000067606    1    1946909    2151834     76       7  225565     -0.68967    1.1613e-13     -0.68967
ENSG00000157933    1    2125134    2276558     89      21  214841     -0.55723    1.1613e-13     -0.55723
ENSG00000116151    1    2217692    2358146    112      27  207761     -0.13366    1.1616e-13     -0.13366
ENSG00000157916    1    2288267    2371883     60      21  187909      -1.2795    1.1613e-13      -1.2795
