# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = WANG_RESPONSE_TO_FORSKOLIN_UP (set)
# _SET1_  NGENES = 22
# _SET1_  P-VALUE = 1.6473e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000074800     1    8886061    8974308     48       7  204402       1.2957     0.033812   -6.6613e-16       1.2957
_SET1_   ENSG00000122482     1   91345859   91522829     75       7  204402       5.0851   1.1595e-08   -8.8818e-16       5.0851
_SET1_   ENSG00000196878     1  209753215  209860811    123      29  204402        -0.19      0.37638   -7.2164e-16        -0.19
_SET1_   ENSG00000069248     1  229542045  229679103     56       3  204402       2.2892    0.0029236   -8.8818e-16       2.2892
_SET1_   ENSG00000115756     2   10408015   10602743    192      42  204402      0.48545      0.16043   -7.2164e-16      0.48545
_SET1_   ENSG00000134108     3    5128905    5257596     68      11  204402      0.26385      0.21455   -7.2164e-16      0.26385
_SET1_   ENSG00000134070     3   10171549   10320427     92      20  204402       1.4565     0.023549   -6.6613e-16       1.4565
_SET1_   ENSG00000138640     4   89612106   90067549    383      35  204402    -0.026595      0.27542   -7.2858e-16    -0.026595
_SET1_   ENSG00000145687     5   80673840   81082616    275      25  204402      0.90742     0.065899   -7.7716e-16      0.90742
_SET1_   ENSG00000038427     5   82732284   82913122    194      29  204402       1.0446     0.054777   -6.6613e-16       1.0446
_SET1_   ENSG00000161011     5  179198388  179300078     46      12  204402      -0.2078         0.37   -7.2164e-16      -0.2078
_SET1_   ENSG00000204301     6   32127620   32226844    206      32  204402       5.1855   5.1223e-09   -8.8818e-16       5.1855
_SET1_   ENSG00000104368     8   41997236   42100242     47       7  204402      -1.4327      0.82037   -6.6613e-16      -1.4327
_SET1_   ENSG00000137106     9   37387663   37471987     65      13  204402      0.82463     0.085141   -7.7716e-16      0.82463
_SET1_   ENSG00000171988    10   64891981   65260722    205      12  204402       1.2538     0.034084   -6.6613e-16       1.2538
_SET1_   ENSG00000132109    11    4371127    4449926     80      14  204402      0.10353      0.25748   -7.3552e-16      0.10353
_SET1_   ENSG00000134827    11   59585273   59669048     19       5  204402       1.6862     0.015471   -6.6613e-16       1.6862
_SET1_   ENSG00000254986    11   66212484   66312130     42       3  204402       2.2398    0.0032013   -8.8818e-16       2.2398
_SET1_   ENSG00000181852    12   56563285   56650717     15       4  204402       2.7952   0.00085102   -8.8818e-16       2.7952
_SET1_   ENSG00000130177    13  114965362  115073198     65       9  204402     -0.27976      0.41858   -7.2164e-16     -0.27976
_SET1_   ENSG00000166484    17   19246034   19321857     15       5  204402      -1.4838      0.84638   -6.6613e-16      -1.4838
_SET1_   ENSG00000123700    17   68129814   68211189     67      10  204402     -0.55084      0.51348   -7.7716e-16     -0.55084
