# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_LOSS_OF_FUNCTION_OF_MECP2_IN_RETT_SYNDROME (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 1.01663e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000142794     1   21731621   21846498     57      12  204402       1.4858     0.021489   -6.6613e-16       1.4858
_SET1_   ENSG00000134070     3   10171549   10320427     92      20  204402       1.4565     0.023549   -6.6613e-16       1.4565
_SET1_   ENSG00000173175     3  122966143  123203605    133      14  204402       1.3667     0.026712   -6.6613e-16       1.3667
_SET1_   ENSG00000075651     3  171283195  171563740    233      20  204402       2.2637    0.0021293   -8.8818e-16       2.2637
_SET1_   ENSG00000122012     5   75343997   75684764    327      42  204402      -1.5701      0.84046   -6.6613e-16      -1.5701
_SET1_   ENSG00000008513     8  134432091  134619183    297      59  204402     -0.02104      0.32252   -7.2858e-16     -0.02104
_SET1_   ENSG00000185267    10   14826249   14915574     48      10  204402     -0.12039      0.34022   -7.3552e-16     -0.12039
_SET1_   ENSG00000173914    11   66397469   66480392     19       4  204402      0.64099      0.12359   -7.7716e-16      0.64099
_SET1_   ENSG00000092108    14   31056318   31240018    128      13  204402      0.56773      0.13656   -7.7716e-16      0.56773
_SET1_   ENSG00000137841    15   40535377   40635136     63      19  204402       3.3095   6.1402e-05   -8.8818e-16       3.3095
_SET1_   ENSG00000179820    19   54334477   54414691     17       6  204402      0.62868      0.13722   -7.7716e-16      0.62868
