# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION (set)
# _SET1_  NGENES = 45
# _SET1_  P-VALUE = 2.43199e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000049245     1    7796329    7876492    329      41  146673        2.499    0.0024036   -3.1086e-15        2.499
_SET1_   ENSG00000127124     1   41937036   42536596   2149     116  144504       1.3433     0.037308   -3.1086e-15       1.3433
_SET1_   ENSG00000132780     1   46014518   46119566    370      23  136601      0.94276      0.10122   -2.9976e-15      0.94276
_SET1_   ENSG00000183347     1   89794617   89887020    360      35  148603       1.7033     0.022225   -3.1086e-15       1.7033
_SET1_   ENSG00000121851     1  145421236  145505388    122      31  123321       0.3444      0.26161   -2.9976e-15       0.3444
_SET1_   ENSG00000182004     1  203795731  203874678    253      20  147655      0.90728      0.11128   -2.9976e-15      0.90728
_SET1_   ENSG00000084754     2   26378504   26502594    338      23  139592      0.44108      0.22281   -2.9976e-15      0.44108
_SET1_   ENSG00000196843     2   97167480   97253375    161      37  138192     -0.26296      0.47527   -2.9976e-15     -0.26296
_SET1_   ENSG00000185909     3   49174044   49248917    122      17  141183     -0.50305      0.56431   -2.9976e-15     -0.50305
_SET1_   ENSG00000114126     3  141628277  141903386   1124      34  147356    -0.065654      0.39106   -3.0254e-15    -0.065654
_SET1_   ENSG00000058056     3  179335543  179542189    778      85  138275       1.1603     0.066906   -3.1086e-15       1.1603
_SET1_   ENSG00000073849     3  186613274  186831341   1148     135  143340       2.4766    0.0024603   -3.1086e-15       2.4766
_SET1_   ENSG00000172869     5  118338467  118619833    756      81  136973       1.6483      0.02537   -3.1086e-15       1.6483
_SET1_   ENSG00000170214     5  159308790  159434551    476      72  141141     0.037641      0.36832   -3.0254e-15     0.037641
_SET1_   ENSG00000164611     5  159813829  159890748    284      44  145874     -0.99067      0.74885   -2.9976e-15     -0.99067
_SET1_   ENSG00000204264     6   32773494   32847480    751      60  132462       1.3124     0.047014   -3.1086e-15       1.3124
_SET1_   ENSG00000128609     7  123142051  123233309    256      25  149992      -1.0996      0.78526   -3.1086e-15      -1.0996
_SET1_   ENSG00000104413     8   95618302   95754694    565      37  150141       0.7044      0.15092   -2.9976e-15       0.7044
_SET1_   ENSG00000155897     8  131757547  132089672   1556      98  146897       1.1028     0.068299   -3.1086e-15       1.1028
_SET1_   ENSG00000072422    10   62594196   62796198    742      72  142835     -0.83909      0.69342   -2.9976e-15     -0.83909
_SET1_   ENSG00000187553    10   94786021   94863454    260      48  145380       1.0072     0.092317   -3.1086e-15       1.0072
_SET1_   ENSG00000155254    10   99437930   99512907    326      48  141562       1.6674     0.023754   -3.1086e-15       1.6674
_SET1_   ENSG00000119946    10  101053856  101189087    483      59  143962      0.60355      0.17903   -2.9976e-15      0.60355
_SET1_   ENSG00000107554    10  101600334  101804676    861      42  147316       0.2435      0.27836   -3.0254e-15       0.2435
_SET1_   ENSG00000148737    10  114675009  114962437    974     143  138864       7.2936    8.795e-22   -2.6645e-15       7.2936
_SET1_   ENSG00000132334    10  129670325  129919119   1311     143  144450     0.059466      0.34601   -3.0254e-15     0.059466
_SET1_   ENSG00000110395    11  119041752  119213859    348      51  133171       1.6606     0.022342   -3.1086e-15       1.6606
_SET1_   ENSG00000149554    11  125460036  125581150    492      33  147948     -0.32919      0.50603   -2.9976e-15     -0.32919
_SET1_   ENSG00000197757    12   54349408   54459607    280      51  143023       2.1895    0.0058292   -3.1086e-15       2.1895
_SET1_   ENSG00000027001    13   24269328   24498558    947      52  144431      0.14993      0.30356   -3.0254e-15      0.14993
_SET1_   ENSG00000133116    13   33555207   33675282    518      45  143443       1.1883     0.062804   -3.1086e-15       1.1883
_SET1_   ENSG00000100439    14   23032146   23116265    495      44  147919       -1.768      0.92589   -3.1086e-15       -1.768
_SET1_   ENSG00000129515    14   34995300   35134389    489      40  144170       1.6311     0.024485   -3.1086e-15       1.6311
_SET1_   ENSG00000166855    15   65405557   65512680    282      26  134503      -0.4834      0.59453   -2.9976e-15      -0.4834
_SET1_   ENSG00000167191    16   19833616   19932489    322      36  138772       3.3633   0.00011153   -3.1086e-15       3.3633
_SET1_   ENSG00000103356    16   23498335   23604052    373      24  144496     -0.45324      0.58649   -2.9976e-15     -0.45324
_SET1_   ENSG00000055483    17   76748463   76872523    394      49  140306       2.7493    0.0010297   -3.1086e-15       2.7493
_SET1_   ENSG00000141434    18   29730032   29835367    357      50  146941      0.71796      0.15234   -2.9976e-15      0.71796
_SET1_   ENSG00000080573    19   10035237   10156147    703      91  144436       1.3487     0.046778   -3.1086e-15       1.3487
_SET1_   ENSG00000167491    19   19461635   19654740    525      31  139335       1.1508     0.070314   -3.1086e-15       1.1508
_SET1_   ENSG00000131055    20   30190691   30267809    229      19  148981     -0.90122      0.72653   -2.9976e-15     -0.90122
_SET1_   ENSG00000197296    20   42896478   42974809    303      28  148422        1.056     0.090641   -3.1086e-15        1.056
_SET1_   ENSG00000064787    20   52518316   52722304   1127      95  147331       2.4144    0.0028957   -3.1086e-15       2.4144
_SET1_   ENSG00000100034    22   22238793   22342209    373      34  146336      0.69203      0.15721   -2.9976e-15      0.69203
_SET1_   ENSG00000128311    22   37371900   37450681    359      38  148918      -1.4964      0.87943   -3.1086e-15      -1.4964
