# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_GLUCONEOGENESIS (set)
# _SET1_  NGENES = 32
# _SET1_  P-VALUE = 3.00527e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000130940     1   10661661   10891707    119      36  204402      -2.1017      0.94915   -8.8818e-16      -2.1017
_SET1_   ENSG00000018625     1  160050549  160148381     93      23  204402      -2.2903      0.96087   -8.8818e-16      -2.2903
_SET1_   ENSG00000082898     2   61669984   61800761     34       2  204402     0.092823      0.28467   -7.3552e-16     0.092823
_SET1_   ENSG00000197329     2   64284786   64406588     81      13  204402      0.70544      0.10662   -7.7716e-16      0.70544
_SET1_   ENSG00000196141     2  201135604  201381986    271      31  204402     0.067584      0.25892   -7.3552e-16     0.067584
_SET1_   ENSG00000114023     3  122068023  122166181     67       9  204402       2.1153    0.0040251   -8.8818e-16       2.1153
_SET1_   ENSG00000172795     5  112277399  112391667    108      13  204402      0.51338      0.14361   -7.7716e-16      0.51338
_SET1_   ENSG00000120324     5  140536942  140610215     59       7  204402     -0.43432      0.46341   -7.2164e-16     -0.43432
_SET1_   ENSG00000111885     6  119463374  119705926    331      22  204402       2.0306    0.0038089   -8.8818e-16       2.0306
_SET1_   ENSG00000105974     7  116129839  116236233    115      14  204402        1.464     0.023395   -6.6613e-16        1.464
_SET1_   ENSG00000147533     8   41312915   41403499     86      11  204402       1.4054     0.027816   -6.6613e-16       1.4054
_SET1_   ENSG00000198963     9   77077281   77343093    212      28  204402       1.4418     0.022459   -6.6613e-16       1.4418
_SET1_   ENSG00000126883     9  133965948  134145057     79      10  204402     -0.50505      0.49317   -7.7716e-16     -0.50505
_SET1_   ENSG00000172320    11   59175617   59246667     73       6  204402     -0.30769       0.4245   -7.2164e-16     -0.30769
_SET1_   ENSG00000168002    11   62494016   62569182     19       5  204402      -1.3899      0.82091   -6.6613e-16      -1.3899
_SET1_   ENSG00000110330    11  102182942  102284401     46       5  204402      0.72618      0.12074   -7.7716e-16      0.72618
