# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS (set)
# _SET1_  NGENES = 19
# _SET1_  P-VALUE = 2.06628e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000183856     1  156460197  156577396     91      10  204402       1.5126     0.021157   -6.6613e-16       1.5126
_SET1_   ENSG00000135744     1  230803269  230885043    175      26  204402      -1.0453      0.70111   -6.6613e-16      -1.0453
_SET1_   ENSG00000084731     2   26114471   26240618     47      11  204402       1.8939      0.00824   -6.6613e-16       1.8939
_SET1_   ENSG00000153086     2  135561117  135694604     82       7  204402       3.1803   0.00010004   -8.8818e-16       3.1803
_SET1_   ENSG00000127824     2  220079433  220177892     46       6  204402      0.46837      0.18923   -7.2164e-16      0.46837
_SET1_   ENSG00000241119     2  234545499  234716946    341      28  204402       1.0745     0.045822   -6.6613e-16       1.0745
_SET1_   ENSG00000113384     5   32089810   32209456     40       8  204402      -2.4485      0.97276   -8.8818e-16      -2.4485
_SET1_   ENSG00000135245     7  128060903  128133472     29       7  204402      0.76185      0.10199   -7.7716e-16      0.76185
_SET1_   ENSG00000104626     8    8824657    9009256    259      20  204402       6.5129   5.6343e-13   -8.8818e-16       6.5129
_SET1_   ENSG00000164983     8  125289231  125419933     69      10  204402      -1.1066      0.72028   -6.6613e-16      -1.1066
_SET1_   ENSG00000166833    11   19337271   20178144   1085     143  204402       0.8002     0.072952   -7.7716e-16       0.8002
_SET1_   ENSG00000149177    11   47967113   48224670    133      14  204402       3.3475   5.3227e-05   -8.8818e-16       3.3475
_SET1_   ENSG00000215021    12    7039490    7114988     21       5  204402     -0.53897      0.55106   -7.7716e-16     -0.53897
_SET1_   ENSG00000166523    12    8650901    8728559     90      13  204402     -0.79444      0.59934   -7.7716e-16     -0.79444
_SET1_   ENSG00000111537    12   68513548   68588527     97       8  204402     -0.42769      0.45916   -7.2164e-16     -0.42769
_SET1_   ENSG00000120699    13   37537953   37618750     41       6  204402      0.70781      0.11686   -7.7716e-16      0.70781
_SET1_   ENSG00000100815    14   92397335   92542240     97       9  204402        1.195     0.041924   -6.6613e-16        1.195
_SET1_   ENSG00000137841    15   40535377   40635136     63      19  204402       3.3095   6.1402e-05   -8.8818e-16       3.3095
_SET1_   ENSG00000166946    15   43442316   43522396     13       3  204402      0.46046       0.1754   -7.2164e-16      0.46046
