# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
ENSG00000187634    1     825260     914955    120      18  59957     -0.58573    1.8208e-14     -0.58573
ENSG00000188976    1     844584     929689    172      25  59957     -0.80078    1.8208e-14     -0.80078
ENSG00000187961    1     860967     936095    169      24  59957     -0.57777    1.8208e-14     -0.57777
ENSG00000187583    1     866877     946245    194      25  59957     -0.67413    1.8208e-14     -0.67413
ENSG00000188290    1     899342     970552    213      23  59957     -0.72191    1.8208e-14     -0.72191
ENSG00000187608    1     913803     984920    236      25  59957     -0.40994    1.8208e-14     -0.40994
ENSG00000188157    1     920503    1026496    337      30  59957     -0.86961    1.8208e-14     -0.86961
ENSG00000237330    1     971346    1044687    239      34  59957      -0.8642    1.8208e-14      -0.8642
ENSG00000131591    1     982198    1086741    378      35  59957       -1.133    1.8208e-14       -1.133
ENSG00000162571    1    1074264    1168315    471      44  59957       2.7675    1.8208e-14       2.7675
ENSG00000186891    1    1103888    1177071    382      30  59957       3.1627    1.8208e-14       3.1627
ENSG00000186827    1    1111706    1184518    361      24  59957       3.0161    1.8208e-14       3.0161
ENSG00000078808    1    1117288    1202411    389      27  59957       3.3695    1.8208e-14       3.3695
ENSG00000176022    1    1132629    1205421    305      20  59957       3.4666    1.8208e-14       3.4666
ENSG00000160087    1    1154289    1244265    380      34  59957       4.0771    1.8652e-14       4.0771
ENSG00000162572    1    1180816    1262409    262      30  59957       4.2138    1.8652e-14       4.2138
ENSG00000131584    1    1192756    1279989    288      29  59957       3.8387    1.8208e-14       3.8387
ENSG00000169972    1    1208947    1282057    249      33  59957       3.4954    1.8208e-14       3.4954
ENSG00000169962    1    1231694    1305686    250      25  59957       3.6486    1.8208e-14       3.6486
ENSG00000107404    1    1235656    1319730    294      20  59957       4.0804    1.8652e-14       4.0804
ENSG00000162576    1    1253069    1332157    274      18  59957       4.1403    1.8652e-14       4.1403
ENSG00000175756    1    1274110    1345875    254      17  59957        4.222    1.8652e-14        4.222
ENSG00000221978    1    1286091    1369708    324      21  59957       4.4972    1.8652e-14       4.4972
ENSG00000242485    1    1302288    1377693    271      19  59957       4.5288    1.8652e-14       4.5288
ENSG00000235098    1    1318800    1392149    247      29  59957       4.2105    1.8652e-14       4.2105
ENSG00000205116    1    1326508    1398167    264      28  59957       4.6742    1.8652e-14       4.6742
ENSG00000179403    1    1335241    1413262    287      30  59957       4.8284    1.8652e-14       4.8284
ENSG00000215915    1    1350069    1440538    351      33  59957       4.5418    1.8652e-14       4.5418
ENSG00000160072    1    1372143    1468228    366      31  59957       3.9866    1.8208e-14       3.9866
ENSG00000197785    1    1412531    1505067    340      28  59957       3.5051    1.8208e-14       3.5051
ENSG00000160075    1    1442053    1545249    312      24  59957       2.6757    1.8208e-14       2.6757
ENSG00000197530    1    1515795    1600990     41      14  59957      0.29059    1.8208e-14      0.29059
ENSG00000189409    1    1532474    1605639      9       5  59957       1.0321    1.8208e-14       1.0321
ENSG00000248333    1    1535603    1625473     36       6  59957       1.1061    1.8208e-14       1.1061
ENSG00000189339    1    1557939    1659167    102      12  59957      0.85495    1.8208e-14      0.85495
ENSG00000008128    1    1599169    1690766    176      20  59957       2.2224    1.8208e-14       2.2224
ENSG00000008130    1    1647671    1746896    225      27  59957       3.3995    1.8208e-14       3.3995
ENSG00000078369    1    1681729    1857495    375      26  59957       3.9955    1.8208e-14       3.9955
ENSG00000169885    1    1811266    1883735    229      21  59957       3.9531    1.8208e-14       3.9531
ENSG00000178821    1    1814029    1885712    223      21  59957       3.9761    1.8208e-14       3.9761
ENSG00000187730    1    1915780    1997192    235      45  59957       1.2763    1.8208e-14       1.2763
ENSG00000067606    1    1946909    2151834    674      60  59957      0.69023    1.8208e-14      0.69023
ENSG00000157933    1    2125134    2276558    560      78  59957      -1.3562    1.8208e-14      -1.3562
ENSG00000116151    1    2217692    2358146    628      93  59957      -0.2932    1.8208e-14      -0.2932
ENSG00000157916    1    2288267    2371883    345      71  59957       0.5404    1.8208e-14       0.5404
ENSG00000157911    1    2301236    2380236    331      70  59957      0.73986    1.8208e-14      0.73986
ENSG00000149527    1    2322419    2471969    632      93  59957       2.2218    1.8208e-14       2.2218
ENSG00000157881    1    2404972    2493039    318      39  59957       3.7614    1.8208e-14       3.7614
ENSG00000197921    1    2425184    2496684    255      31  59957       3.8014    1.8208e-14       3.8014
ENSG00000157873    1    2452078    2531821    290      28  59957       4.3836    1.8652e-14       4.3836
ENSG00000142606    1    2487078    2599481    349      20  59957       3.0951    1.8208e-14       3.0951
ENSG00000215912    1    2532415    2753286    433      28  59957       2.4064    1.8208e-14       2.4064
ENSG00000169717    1    2903046    2974465    341      15  59957      0.65122    1.8208e-14      0.65122
ENSG00000142611    1    2950732    3390185   2025     211  59957     -0.69979    1.8208e-14     -0.69979
ENSG00000130762    1    3335990    3432677    376      40  59957      0.27521    1.8208e-14      0.27521
ENSG00000162591    1    3371484    3563059    813     101  59957      -0.7271    1.8208e-14      -0.7271
ENSG00000158109    1    3506566    3581691    309      39  59957      -1.6106    1.8208e-14      -1.6106
ENSG00000116213    1    3512331    3604325    375      55  59957      -1.1536    1.8208e-14      -1.1536
ENSG00000078900    1    3534084    3687765    582      86  59957     -0.48267    1.8208e-14     -0.48267
ENSG00000162592    1    3633962    3723209    421      56  59957      -1.4401    1.8208e-14      -1.4401
ENSG00000235169    1    3654352    3727546    370      42  59957      -1.1498    1.8208e-14      -1.1498
ENSG00000130764    1    3661784    3748068    461      39  59957      -1.4676    1.8208e-14      -1.4676
ENSG00000116198    1    3693645    3808778    736      42  59957      -1.4388    1.8208e-14      -1.4388
ENSG00000169598    1    3738845    3836993    595      45  59957     -0.78422    1.8208e-14     -0.78422
ENSG00000198912    1    3770689    3851857    395      42  59957      -0.6233    1.8208e-14      -0.6233
ENSG00000196581    1    4679792    4887594   1074     121  59957       1.0506    1.8208e-14       1.0506
ENSG00000131697    1    5887871    6087533    743      48  59957     -0.78062    1.8208e-14     -0.78062
ENSG00000069424    1    6016526    6196253    633      76  59957     -0.91646    1.8208e-14     -0.91646
ENSG00000116254    1    6126853    6275183    543      61  59957     -0.92874    1.8208e-14     -0.92874
ENSG00000116251    1    6206329    6304449    307      42  59957     -0.14391    1.8208e-14     -0.14391
ENSG00000158286    1    6230535    6316359    233      39  59957      0.18084    1.8208e-14      0.18084
ENSG00000116237    1    6246253    6331032    226      41  59957       0.3598    1.8208e-14       0.3598
ENSG00000173673    1    6269252    6340638    190      37  59957      0.14856    1.8208e-14      0.14856
ENSG00000158292    1    6272406    6356035    236      47  59957       1.0315    1.8208e-14       1.0315
ENSG00000097021    1    6289329    6489451    763      42  59957       2.4244    1.8208e-14       2.4244
ENSG00000069812    1    6437478    6519730    294      21  59957        2.999    1.8208e-14        2.999
ENSG00000187017    1    6449848    6556430    361      29  59957       3.4642    1.8208e-14       3.4642
ENSG00000215788    1    6486211    6561255    227      31  59957       3.3879    1.8208e-14       3.3879
ENSG00000171680    1    6491152    6615121    416      41  59957       2.8861    1.8208e-14       2.8861
ENSG00000162408    1    6546407    6649595    353      23  59957      0.33994    1.8208e-14      0.33994
ENSG00000173662    1    6580241    6674817    304      38  59957    -0.072088    1.8208e-14    -0.072088
ENSG00000204859    1    6605061    6684340    236      35  59957     -0.15273    1.8208e-14     -0.15273
ENSG00000162413    1    6615784    6709667    256      37  59957     -0.74354    1.8208e-14     -0.74354
ENSG00000116273    1    6638745    6719093    223      37  59957      -1.0023    1.8208e-14      -1.0023
ENSG00000041988    1    6649926    6730646    233      33  59957      -0.9962    1.8208e-14      -0.9962
ENSG00000007923    1    6659228    6796984    375      28  59957      -1.3201    1.8208e-14      -1.3201
ENSG00000171735    1    6810384    7864766   3638     255  59957     0.013993    1.8213e-14     0.013993
ENSG00000049245    1    7796329    7876492    290      34  59957        2.543    1.8208e-14        2.543
ENSG00000049246    1    7809380    7940237    554      38  59957       3.4396    1.8208e-14       3.4396
ENSG00000049247    1    7868143    7948572    385      39  59957       3.8568    1.8208e-14       3.8568
ENSG00000049249    1    7944907    8035926    284      31  59957       4.6957    1.8652e-14       4.6957
ENSG00000116288    1    7979351    8080565    222      30  59957        5.009    1.8652e-14        5.009
ENSG00000116285    1    8029464    8121368    184      20  59957       5.3378    1.8652e-14       5.3378
ENSG00000162426    1    8342886    8439227    273      31  59957       0.6264    1.8208e-14       0.6264
ENSG00000142599    1    8377457    8912702    992      40  59957      0.33957    1.8208e-14      0.33957
ENSG00000074800    1    8886061    8974308    230      35  59957      0.34387    1.8208e-14      0.34387
ENSG00000131686    1    8970926    9070151    448      85  59957      -1.5666    1.8208e-14      -1.5666
ENSG00000197241    1    9028359    9121404    361      70  59957     -0.54641    1.8208e-14     -0.54641
ENSG00000142583    1    9060166    9183537    552      52  59957      0.55758    1.8208e-14      0.55758
ENSG00000180758    1    9125364    9224229    389      44  59957     0.096844    1.8208e-14     0.096844
ENSG00000049239    1    9259834    9366396    485      61  59957       1.9275    1.8208e-14       1.9275
ENSG00000171621    1    9317939    9464591    710     107  59957       3.1753    1.8208e-14       3.1753
ENSG00000171612    1    9564541    9680237    226      32  59957      0.29459    1.8208e-14      0.29459
ENSG00000188807    1    9613932    9709935    199      34  59957      0.28771    1.8208e-14      0.28771
ENSG00000171608    1    9676790    9824172    375      63  59957     -0.81019    1.8208e-14     -0.81019
ENSG00000171603    1    9754084    9919584    339      41  59957     -0.12715    1.8208e-14     -0.12715
ENSG00000178585    1    9873334   10005394    334      51  59957      0.21185    1.8208e-14      0.21185
ENSG00000162441    1    9947173   10038465    218      39  59957      0.41726    1.8208e-14      0.41726
ENSG00000173614    1    9968486   10080559    266      26  59957       0.2461    1.8208e-14       0.2461
ENSG00000162444    1   10022264   10111078    205      26  59957    -0.013674    1.8213e-14    -0.013674
ENSG00000130939    1   10057890   10276297    625      29  59957     -0.55278    1.8208e-14     -0.55278
ENSG00000054523    1   10235863   10476661    818      23  59957     -0.70008    1.8208e-14     -0.70008
ENSG00000142657    1   10423649   10515201    276      27  59957      -1.5402    1.8208e-14      -1.5402
ENSG00000241563    1   10474776   10546959    198      27  59957      -1.1266    1.8208e-14      -1.1266
ENSG00000160049    1   10481579   10567583    244      26  59957     -0.85428    1.8208e-14     -0.85428
ENSG00000142655    1   10497345   10725815    638      55  59957     -0.43244    1.8208e-14     -0.43244
ENSG00000130940    1   10661661   10891707    716     122  59957      -1.0876    1.8208e-14      -1.0876
ENSG00000175262    1   10971528   11077094    412      60  59957     -0.53205    1.8208e-14     -0.53205
ENSG00000120948    1   11037414   11120796    231      33  59957      0.37156    1.8208e-14      0.37156
ENSG00000009724    1   11051580   11142290    261      20  59957      0.72836    1.8208e-14      0.72836
ENSG00000116649    1   11079641   11155081    210      16  59957      0.28913    1.8208e-14      0.28913
ENSG00000171824    1   11091675   11194938    300      14  59957      0.19098    1.8208e-14      0.19098
ENSG00000198793    1   11131592   11357564    558      17  59957      0.37731    1.8208e-14      0.37731
ENSG00000171819    1   11214398   11291038    183      11  59957      0.24598    1.8208e-14      0.24598
ENSG00000120942    1   11298263   11391106    222      27  59957      0.40446    1.8208e-14      0.40446
ENSG00000116661    1   11673424   11750842    278      48  59957      -2.6084    1.8208e-14      -2.6084
ENSG00000132879    1   11679432   11758384    275      52  59957      -2.7113    1.8208e-14      -2.7113
ENSG00000116663    1   11689181   11769411    288      55  59957      -3.0323    1.8208e-14      -3.0323
ENSG00000116670    1   11699537   11786707    307      57  59957      -2.6358    1.8208e-14      -2.6358
ENSG00000162490    1   11716786   11820914    361      66  59957       -1.616    1.8208e-14       -1.616
ENSG00000177674    1   11761141   11849859    358      53  59957      -1.3374    1.8208e-14      -1.3374
ENSG00000177000    1   11810780   11901977    453      26  59957      0.10795    1.8208e-14      0.10795
ENSG00000011021    1   11831207   11938201    568      33  59957      0.29308    1.8208e-14      0.29308
ENSG00000175206    1   11870766   11943402    374      35  59957      0.55567    1.8208e-14      0.55567
ENSG00000120937    1   11882521   11953988    362      38  59957      0.86632    1.8208e-14      0.86632
ENSG00000116685    1   11944648   12021485    307      26  59957      0.69584    1.8208e-14      0.69584
ENSG00000083444    1   11959262   12070595    373      34  59957       0.8248    1.8208e-14       0.8248
ENSG00000116688    1   12005238   12108571    289      30  59957        1.597    1.8208e-14        1.597
ENSG00000116691    1   12044523   12127102    226      36  59957       2.4408    1.8208e-14       2.4408
ENSG00000120949    1   12088434   12239264    453      89  59957        3.085    1.8208e-14        3.085
ENSG00000028137    1   12192060   12304285    374      56  59957     -0.46271    1.8208e-14     -0.46271
ENSG00000048707    1   12255124   12607099    902      46  59957       0.2013    1.8208e-14       0.2013
ENSG00000162496    1   12592939   12712737    558      65  59957       1.2856    1.8208e-14       1.2856
ENSG00000204518    1   12669566   12762097    343      39  59957       1.2247    1.8208e-14       1.2247
ENSG00000116726    1   12799984   12873049    259      23  59957     -0.20918    1.8208e-14     -0.20918
ENSG00000116721    1   12816546   12891777    240      30  59957     -0.38478    1.8208e-14     -0.38478
ENSG00000179172    1   12872261   12943578    249      20  59957     -0.96902    1.8208e-14     -0.96902
ENSG00000120952    1   12881941   12956764    228      17  59957     -0.80826    1.8208e-14     -0.80826
ENSG00000243073    1   12904045   12981025    139      11  59957     -0.21025    1.8208e-14     -0.21025
ENSG00000187545    1   12917727   12993101     65      12  59957     -0.45354    1.8208e-14     -0.45354
ENSG00000162494    1   13766445   13875543    504      67  59957      -1.3762    1.8208e-14      -1.3762
ENSG00000162493    1   13874960   13979452    508      62  59957     -0.73493    1.8208e-14     -0.73493
ENSG00000116731    1   13991693   14186574    709      47  59957     -0.15742    1.8208e-14     -0.15742
ENSG00000189337    1   14890200   15479539   2451     245  59957       2.0431    1.8208e-14       2.0431
ENSG00000171729    1   15444028   15581976    789      47  59957      -1.0205    1.8208e-14      -1.0205
ENSG00000142621    1   15538768   15761779    948     108  59957     0.071695    1.8208e-14     0.071695
ENSG00000142634    1   15701391   15791839    343      51  59957       1.4385    1.8208e-14       1.4385
ENSG00000162438    1   15729935   15810737    285      49  59957       1.9105    1.8208e-14       1.9105
ENSG00000142615    1   15748223   15833586    290      39  59957       1.5146    1.8208e-14       1.5146
ENSG00000215704    1   15757404   15852895    353      37  59957       1.3446    1.8208e-14       1.3446
ENSG00000132906    1   15782327   15888029    374      27  59957      0.12828    1.8208e-14      0.12828
ENSG00000116138    1   15818308   15953874    487      20  59957     -0.85165    1.8208e-14     -0.85165
ENSG00000116771    1   15863848   15946605    304      15  59957     -0.63984    1.8208e-14     -0.63984
ENSG00000197312    1   15908995   16030539    388      14  59957     0.022305    1.8211e-14     0.022305
ENSG00000215695    1   15951364   16023217    177      12  59957      0.23957    1.8208e-14      0.23957
ENSG00000116786    1   15975827   16096264    362      31  59957       1.1116    1.8208e-14       1.1116
ENSG00000162461    1   16027900   16102891    248      36  59957        1.693    1.8208e-14        1.693
ENSG00000162460    1   16033917   16109477    249      39  59957       1.9468    1.8208e-14       1.9468
ENSG00000162458    1   16048102   16148089    373      50  59957       2.5038    1.8208e-14       2.5038
ENSG00000065526    1   16139359   16301955    416      34  59957       1.1663    1.8208e-14       1.1663
ENSG00000116809    1   16233364   16337627    313      28  59957       1.1118    1.8208e-14       1.1118
ENSG00000173641    1   16305523   16381089    441      34  59957      0.40496    1.8208e-14      0.40496
ENSG00000186510    1   16310370   16395545    512      34  59957      0.31048    1.8208e-14      0.31048
ENSG00000184908    1   16335272   16418803    439      38  59957      0.36085    1.8208e-14      0.36085
ENSG00000185519    1   16349264   16435127    446      38  59957      0.79858    1.8208e-14      0.79858
ENSG00000142627    1   16415832   16517582    334      31  59957      0.88051    1.8208e-14      0.88051
ENSG00000142632    1   16489349   16574104    289      27  59957      -1.3721    1.8208e-14      -1.3721
ENSG00000037637    1   16538334   16713949    448      23  59957    0.0061666    1.8213e-14    0.0061666
ENSG00000055070    1   16644070   16759640    308      27  59957     0.012829    1.8213e-14     0.012829
ENSG00000187144    1   16678612   16798919    372      47  59957     -0.61042    1.8208e-14     -0.61042
ENSG00000157191    1   16732167   16821573    306      40  59957      -1.1722    1.8208e-14      -1.1722
ENSG00000219481    1   16853814   16975057     15       5  59957      0.18393    1.8208e-14      0.18393
ENSG00000058453    1   17031768   17334474    372      43  59957      0.64689    1.8208e-14      0.64689
ENSG00000117122    1   17265997   17342330    208      36  59957     -0.15165    1.8208e-14     -0.15165
ENSG00000159363    1   17277453   17373423    281      30  59957     -0.54762    1.8208e-14     -0.54762
ENSG00000117118    1   17310217   17415665    425      23  59957     -0.70157    1.8208e-14     -0.70157
ENSG00000117115    1   17358256   17480948    560      37  59957     0.091621    1.8208e-14     0.091621
ENSG00000142623    1   17496621   17607500    593      76  59957       1.3003    1.8208e-14       1.3003
ENSG00000142619    1   17540593   17645728    556      55  59957     -0.15298    1.8208e-14     -0.15298
ENSG00000159339    1   17599690   17725499    692      52  59957       0.6594    1.8208e-14       0.6594
ENSG00000179051    1   17698256   17801220    428      31  59957      -1.0299    1.8208e-14      -1.0299
ENSG00000074964    1   17831330   18059369    689      73  59957     -0.12778    1.8208e-14     -0.12778
ENSG00000117148    1   18046808   18188558    468      52  59957      -2.1963    1.8208e-14      -2.1963
ENSG00000117154    1   18399240   18739977   1472     189  59957      -0.3737    1.8208e-14      -0.3737
ENSG00000179023    1   18772424   18847478    384      51  59957       1.1721    1.8208e-14       1.1721
ENSG00000009709    1   18922500   19110360    751     108  59957     -0.24307    1.8208e-14     -0.24307
ENSG00000179002    1   19131093   19221176    573      56  59957      -1.1576    1.8208e-14      -1.1576
ENSG00000159423    1   19162926   19264275    596      73  59957      -1.8069    1.8208e-14      -1.8069
ENSG00000169991    1   19195775   19318180    600      66  59957       -1.454    1.8208e-14       -1.454
ENSG00000127481    1   19366000   19571770    579      33  59957      -1.1896    1.8208e-14      -1.1896
ENSG00000127463    1   19507158   19613046    427      28  59957      -1.3206    1.8208e-14      -1.3206
ENSG00000053372    1   19543033   19621622    361      26  59957      -1.5113    1.8208e-14      -1.5113
ENSG00000162482    1   19574052   19650744    360      31  59957      -1.7477    1.8208e-14      -1.7477
ENSG00000053371    1   19595459   19673640    348      37  59957      -1.7703    1.8208e-14      -1.7703
ENSG00000077549    1   19630267   19847066    930      48  59957      -0.5867    1.8208e-14      -0.5867
ENSG00000158747    1   19932048   20019945    320      40  59957      -2.3224    1.8208e-14      -2.3224
ENSG00000158748    1   19956780   20041055    344      37  59957      -2.0152    1.8208e-14      -2.0152
ENSG00000162542    1   19973706   20161438    790      95  59957       5.3574    1.8652e-14       5.3574
ENSG00000178828    1   20105523   20176771    308      51  59957       7.6309    1.8652e-14       7.6309
ENSG00000169914    1   20174006   20274438    378      39  59957       6.4731    1.8652e-14       6.4731
ENSG00000188784    1   20211502   20285110    267      36  59957        5.973    1.8652e-14        5.973
ENSG00000188257    1   20266925   20341932    313      48  59957      0.80349    1.8208e-14      0.80349
ENSG00000127472    1   20319672   20452683    486      53  59957        -1.34    1.8208e-14        -1.34
ENSG00000117215    1   20403432   20481050    262      65  59957      -1.4931    1.8208e-14      -1.4931
ENSG00000158786    1   20430819   20511879    255      61  59957     -0.38669    1.8208e-14     -0.38669
