# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = HOLLERN_MICROACINAR_BREAST_TUMOR_DN (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 1.65508e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000160710     1  154519538  154635475    215      24  195813        2.266    0.0074605    8.5709e-14        2.266
_SET1_   ENSG00000235750     1  175091123  175197135    362      35  195813       1.3375     0.068292    8.5709e-14       1.3375
_SET1_   ENSG00000075292     2   71468691   71697199    748      34  195813       2.9971   0.00082232    8.5709e-14       2.9971
_SET1_   ENSG00000174953     3  153955335  154077286    236      23  195813       3.4006   0.00018649    8.5709e-14       3.4006
_SET1_   ENSG00000181163     5  170779120  170873141    269      19  195813      0.88865      0.13503    8.5598e-14      0.88865
_SET1_   ENSG00000105989     7  116881685  116998343    300      36  195813        2.573    0.0034632    8.5709e-14        2.573
_SET1_   ENSG00000136810     9  112971091  113053920    327      43  195813        1.591     0.045016    8.5709e-14        1.591
_SET1_   ENSG00000198873    10  120932101  121250131   1113      83  195813     -0.17914      0.57282    8.5626e-14     -0.17914
_SET1_   ENSG00000165966    12   41547250   42003392   1663      52  195813       1.2557     0.079369    8.5709e-14       1.2557
_SET1_   ENSG00000133985    14   71073504   71177077    352      61  195813      0.51298       0.2956    8.5598e-14      0.51298
_SET1_   ENSG00000137801    15   39838280   39926667    200      15  195813      0.31697      0.31148    8.5598e-14      0.31697
_SET1_   ENSG00000087253    16   55507910   55655582    408      34  195813       1.9636     0.016958    8.5709e-14       1.9636
_SET1_   ENSG00000051523    16   88674691   88752560    274      43  195813     -0.39583      0.61811    8.5598e-14     -0.39583
_SET1_   ENSG00000121067    17   47641246   47790596    238      46  195813       1.2636      0.10365    8.5709e-14       1.2636
