# ALPHA = 0.05
# NUMBER_OF_TESTS = 5878

# _SET1_  VARIABLE = KEGG_MEDICUS_REFERENCE_GATOR1_MTORC1_SIGNALING_PATHWAY (set)
# _SET1_  NGENES = 13
# _SET1_  P-VALUE = 2.4862e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000177606     1   59211465   59284785    208      47  140971      0.35639      0.24945   -2.9976e-15      0.35639
_SET1_   ENSG00000173175     3  122966143  123203605    816      73  138832       5.4952   2.4467e-09   -2.6645e-15       5.4952
_SET1_   ENSG00000163453     4   57861939   58011551    747      66  149925       1.1152     0.074641   -3.1086e-15       1.1152
_SET1_   ENSG00000169439     8   97470579   97659000    739     104  146726      0.19794      0.30383   -3.0254e-15      0.19794
_SET1_   ENSG00000110092    11   69420855   69504242    291      40  141290       3.1494   0.00025192   -3.1086e-15       3.1494
_SET1_   ENSG00000166143    15   41072650   41155907    256      28  146187       2.4397    0.0028574   -3.1086e-15       2.4397
_SET1_   ENSG00000140564    15   91376822   91461688    323      62  134772       2.0835    0.0076004   -3.1086e-15       2.0835
_SET1_   ENSG00000089280    16   31156431   31238127    153      23  117680     -0.41951      0.55799   -2.9976e-15     -0.41951
_SET1_   ENSG00000120071    17   44072282   44337733   1546       9  134967     -0.81876      0.66071   -2.9976e-15     -0.81876
_SET1_   ENSG00000060558    19    3101191    3198767    674      98  138014      -1.1672      0.79449   -3.1086e-15      -1.1672
_SET1_   ENSG00000131069    20   33424949   33550769    287      23  141416       2.4186    0.0029006   -3.1086e-15       2.4186
_SET1_   ENSG00000118707    20   35166891   35257353    169      61  127612      0.75116      0.18697   -2.9976e-15      0.75116
_SET1_   ENSG00000172216    20   48772376   48844212    291      35  141751      0.56924      0.18028   -2.9976e-15      0.56924
